step,max_distance,k_max,entropy
0,1,3,0.307546
67,1,70,0.729899
134,2,135,0.707645
201,2,199,0.707107
268,2,263,0.718527
335,2,328,0.704313
402,2,393,0.751388
469,2,457,0.745123
536,2,519,0.722224
603,2,583,0.765574
670,2,646,0.793955
737,2,712,0.785922
804,2,777,0.813106
871,2,841,0.847082
938,2,904,0.851703
1005,2,969,0.84063
1072,2,1032,0.823153
1139,2,1095,0.966402
1206,2,1155,1.10688
1273,2,1216,1.1244
1340,3,1275,1.18091
1407,3,1335,1.19676
1474,3,1396,1.24474
1541,3,1451,1.28013
1608,3,1502,1.3211
1675,3,1554,1.33893
1742,3,1607,1.36249
1809,3,1662,1.38084
1876,3,1707,1.39592
1943,3,1751,1.41642
2010,3,1795,1.44591
2077,3,1831,1.49372
2144,3,1871,1.48694
2211,3,1912,1.46988
2278,3,1967,1.47169
2345,3,2023,1.46093
2412,3,2083,1.46009
2479,3,2138,1.45072
2546,3,2188,1.46152
2613,3,2247,1.44262
2680,3,2306,1.43518
2747,3,2364,1.44273
2814,3,2422,1.42886
2881,3,2480,1.41031
2948,3,2537,1.4011
3015,3,2589,1.3993
3082,3,2645,1.38529
3149,3,2703,1.36448
3216,3,2753,1.34847
3283,3,2810,1.33286
3350,3,2865,1.35072
3417,3,2918,1.34624
3484,3,2977,1.3362
3551,3,3036,1.32827
3618,3,3095,1.31348
3685,3,3153,1.30393
3752,3,3211,1.3032
3819,3,3266,1.29875
3886,3,3325,1.29004
3953,3,3383,1.29452
4020,3,3439,1.29178
4087,3,3491,1.29709
4154,3,3544,1.29686
4221,3,3600,1.29091
4288,3,3651,1.28865
4355,3,3705,1.28818
4422,3,3756,1.29065
4489,3,3814,1.28533
4556,3,3874,1.28146
4623,3,3930,1.28437
4690,3,3988,1.28361
4757,3,4043,1.27883
4824,3,4097,1.27885
4891,3,4148,1.27649
4958,3,4205,1.26959
