step,max_distance,k_max,entropy
0,1,3,1.58673
67,3,40,4.82956
134,3,55,5.50857
201,4,65,5.91171
268,4,77,6.19895
335,4,88,6.41999
402,4,105,6.60164
469,4,113,6.7528
536,5,125,6.8856
603,5,136,7.00253
670,5,145,7.10734
737,5,161,7.19971
804,5,174,7.28779
871,5,184,7.36792
938,5,192,7.44353
1005,5,204,7.511
1072,5,215,7.57437
1139,5,221,7.63456
1206,5,230,7.69269
1273,5,241,7.74575
1340,5,248,7.7971
1407,5,257,7.84515
1474,5,264,7.89221
1541,5,273,7.93655
1608,5,279,7.97883
1675,5,286,8.01952
1742,5,292,8.05896
1809,5,297,8.09621
1876,5,302,8.13257
1943,5,309,8.16731
2010,5,313,8.20138
2077,5,319,8.2346
2144,5,327,8.26531
2211,5,334,8.29506
2278,5,338,8.32491
2345,5,345,8.35305
2412,5,347,8.38098
2479,5,355,8.40827
