step,max_distance,k_max,entropy
0,1,3,2.28889e-16
67,1,70,7.55296e-05
134,1,137,4.03767e-05
201,1,204,2.78257e-05
268,1,271,2.13286e-05
335,1,338,1.73388e-05
402,1,405,2.19463e-05
469,1,472,1.90077e-05
536,1,539,1.67792e-05
603,1,606,2.0038e-05
670,1,673,2.26946e-05
737,1,740,2.07566e-05
804,1,807,2.29572e-05
871,1,874,2.48464e-05
938,1,941,2.31776e-05
1005,1,1008,2.1724e-05
1072,1,1075,2.04463e-05
1139,1,1142,0.0256707
1206,1,1209,0.029552
1273,1,1276,0.0282181
1340,1,1343,0.0314256
1407,1,1410,0.030143
1474,1,1477,0.0289674
1541,1,1544,0.0278855
1608,1,1611,0.0268865
1675,1,1678,0.0259608
1742,1,1745,0.0251006
1809,1,1812,0.0243008
1876,1,1879,0.0235518
1943,1,1946,0.0259633
2010,1,2013,0.02522
2077,1,2080,0.0245207
2144,1,2147,0.0238601
2211,1,2214,0.0232364
2278,1,2281,0.0226464
2345,1,2348,0.0220875
2412,1,2415,0.0215571
2479,1,2482,0.0210532
