Node,Curvature
0,-2
1,-2.83333
2,-2
3,-2.16667
4,-2.5
5,-2
6,-2
7,-1.33333
8,-2.33333
9,-3
10,-1.33333
11,-1.83333
12,-2.16667
13,-1.16667
14,-1.66667
15,-1.5
16,-1.5
17,-2.33333
18,-1.83333
19,-1.16667
20,-1.16667
21,-1.5
22,-0.5
23,-1.5
24,-1.83333
25,-0.833333
26,-2.66667
27,-0.833333
28,-0.833333
29,-1.5
30,-1.66667
31,-1.16667
32,-1
33,-2.16667
34,-2
35,-0.833333
36,-1
37,-1.33333
38,-1.66667
39,-1.33333
40,-1.16667
41,-1.5
42,-1.5
43,-1
44,-0.5
45,-0.333333
46,-1.83333
47,-1.16667
48,-1.33333
49,-1.66667
50,-0.666667
51,-1.5
52,-1.16667
53,-1
54,-0.666667
55,-1
56,-1
57,-1.16667
58,-1
59,-1.66667
60,-1
61,-1
62,-2
63,-2.5
64,-1.33333
65,-2
66,-1.83333
67,-1.33333
68,-1.16667
69,-0.666667
70,-1.33333
71,-0.666667
72,-1.66667
73,-1
74,-1.33333
75,-1.16667
76,-0.666667
77,-0.333333
78,-0.333333
79,-0.666667
80,-1.5
81,-0.666667
82,-1.16667
83,-0.333333
84,-2.33333
85,-1.83333
86,-0.833333
87,-1
88,-0.666667
89,-1
90,-0.833333
91,-1.33333
92,-0.666667
93,-0.666667
94,-1.66667
95,-1.33333
96,-0.333333
97,-0.333333
98,-0.666667
99,-1.16667
100,-1
101,-1.16667
102,-0.666667
103,-0.666667
104,-0.333333
105,-0.333333
106,-1
107,-0.666667
108,-2
109,0.166667
110,0
111,-0.833333
112,-0.833333
113,-1
114,-0.5
115,-1.16667
116,-0.5
117,-0.5
118,-1.16667
119,-0.5
120,-1
121,-0.5
122,-0.833333
123,-1.33333
124,-0.666667
125,-0.833333
126,-1.16667
127,-0.833333
128,-0.666667
129,-1.5
130,-1
131,-1.16667
132,-1.16667
133,-1
134,-0.333333
135,-1.5
136,-1
137,-2
138,-1.16667
139,-0.833333
140,-0.333333
141,-0.666667
142,-1.33333
143,-1
144,-0.833333
145,-0.833333
146,-0.666667
147,-0.833333
148,-0.666667
149,-1.5
150,-1
151,-0.666667
152,-0.666667
153,-1.16667
154,-1.33333
155,-1.66667
156,-0.166667
157,-1.16667
158,-1
159,0
160,-1
161,-0.333333
162,-0.833333
163,-0.5
164,-1.5
165,-0.833333
166,-0.166667
167,-0.833333
168,-0.666667
169,-0.833333
170,-0.833333
171,-1.33333
172,-2
173,-0.833333
174,0
175,-0.5
176,-1
177,-0.166667
178,-1.33333
179,-1.5
180,-0.333333
181,-1.33333
182,-0.833333
183,-1.33333
184,0
185,-0.5
186,-0.333333
187,-0.333333
188,-1.16667
189,-0.166667
190,-1.33333
191,-0.833333
192,-0.666667
193,-1.33333
194,0.166667
195,-1.66667
196,-1.16667
197,-1
198,-0.833333
199,-0.666667
200,-1.33333
201,-1.16667
202,-1
203,-0.666667
204,-0.833333
205,-1.66667
206,-0.166667
207,-0.666667
208,-0.833333
209,-1.83333
210,-0.5
211,0
212,-1
213,-1.16667
214,-0.166667
215,-1
216,-0.333333
217,-0.833333
218,-0.5
219,-0.833333
220,0
221,-0.5
222,-0.833333
223,-0.833333
224,-1
225,-0.5
226,-1
227,-1
228,-1.33333
229,-1
230,-0.5
231,-0.166667
232,-1
233,-0.666667
234,-0.5
235,-0.333333
236,-0.666667
237,-1
238,-0.333333
239,-1
240,-0.333333
241,-0.333333
242,-1.5
243,-0.666667
244,-0.666667
245,-0.333333
246,-0.5
247,-0.666667
248,-1.33333
249,-0.333333
250,-0.5
251,-1
252,-0.166667
253,-0.333333
254,-0.833333
255,0
256,-1
257,-0.333333
258,-0.666667
259,-0.833333
260,-0.333333
261,-0.833333
262,-0.333333
263,-0.166667
264,-0.166667
265,-0.833333
266,-0.666667
267,-0.333333
268,-0.666667
269,-1.16667
270,-0.833333
271,-1.16667
272,-0.666667
273,-0.666667
274,0.166667
275,0.166667
276,-0.5
277,-1
278,0.166667
279,-1.16667
280,-0.166667
281,-0.166667
282,-0.5
283,-0.5
284,-0.666667
285,-1.5
286,-1
287,-1
288,-0.333333
289,-0.5
290,-0.666667
291,-0.833333
292,-0.666667
293,-0.166667
294,-0.166667
295,-0.666667
296,-2.33333
297,-0.5
298,-0.5
299,-0.666667
300,-0.833333
301,-0.166667
302,-0.166667
303,-0.333333
304,0
305,-0.333333
306,-0.333333
307,-0.166667
308,0.333333
309,-0.333333
310,0
311,-0.5
312,-0.833333
313,0
314,-1
315,-0.166667
316,-0.666667
317,-0.166667
318,0
319,-0.333333
320,-0.833333
321,-0.666667
322,-0.333333
323,-0.333333
324,0
325,-0.666667
326,-1
327,-0.666667
328,-0.5
329,-0.666667
330,-0.333333
331,-0.833333
332,-0.5
333,-0.833333
334,-0.666667
335,-0.166667
336,0
337,-0.333333
338,-0.666667
339,-1.16667
340,-0.5
