step,max_distance,k_max,entropy
0,1,3,1.60135
67,2,22,4.84755
134,3,30,5.51646
201,4,39,5.91394
268,4,43,6.19914
335,4,51,6.41809
402,4,53,6.59582
469,4,63,6.75018
536,4,68,6.88472
603,4,74,7.00194
670,5,82,7.10887
737,5,89,7.20366
804,5,95,7.28966
871,5,101,7.36956
938,5,107,7.44322
1005,5,114,7.51248
1072,5,123,7.57584
1139,5,125,7.63617
1206,5,131,7.69347
1273,5,134,7.74805
1340,5,136,7.79801
1407,5,137,7.84728
1474,5,141,7.89356
1541,5,144,7.93761
1608,5,146,7.97948
1675,5,148,8.01904
1742,5,151,8.0589
1809,6,155,8.0964
1876,6,158,8.13228
1943,6,163,8.16792
2010,6,169,8.201
2077,6,172,8.23381
2144,6,174,8.26479
2211,6,178,8.2959
2278,6,179,8.32589
2345,6,184,8.355
2412,6,185,8.38366
2479,6,188,8.41109
