step,max_distance,k_max,entropy
0,1,3,1.1278
67,2,66,3.54003
134,2,125,4.1938
201,2,185,4.44868
268,2,244,4.59001
335,2,305,4.66341
402,2,364,4.76785
469,2,426,4.84841
536,2,483,4.94194
603,2,546,4.97255
670,2,608,5.04707
737,2,660,5.09763
804,2,718,5.1338
871,2,782,5.12204
938,2,843,5.14764
1005,2,903,5.18337
1072,2,961,5.22929
1139,2,1021,5.25344
1206,2,1080,5.27563
1273,2,1144,5.30532
1340,2,1205,5.31878
1407,2,1262,5.36299
1474,2,1323,5.36607
1541,2,1383,5.37833
1608,2,1448,5.38587
1675,2,1513,5.39032
1742,2,1568,5.38973
1809,2,1628,5.41141
1876,2,1690,5.43258
1943,2,1752,5.43645
2010,2,1813,5.43461
2077,2,1869,5.46891
2144,2,1929,5.50302
2211,2,1987,5.51178
2278,2,2048,5.52336
2345,2,2106,5.53109
2412,3,2161,5.55042
2479,3,2220,5.55073
2546,3,2281,5.5499
2613,3,2339,5.55736
2680,3,2396,5.54892
2747,3,2459,5.56206
2814,3,2520,5.56344
2881,3,2578,5.56609
2948,3,2638,5.57147
3015,3,2699,5.58539
3082,3,2755,5.60623
3149,3,2813,5.62529
3216,3,2874,5.6243
3283,3,2936,5.63112
3350,3,2998,5.62528
3417,3,3056,5.6259
3484,3,3118,5.62314
3551,3,3178,5.63503
3618,3,3239,5.63412
3685,3,3298,5.65037
3752,3,3359,5.66193
3819,3,3422,5.66492
3886,3,3482,5.67088
3953,3,3543,5.68738
4020,3,3604,5.68353
4087,3,3667,5.69473
4154,3,3730,5.70161
4221,3,3785,5.6999
4288,3,3843,5.70312
4355,3,3900,5.71332
4422,3,3964,5.72347
4489,3,4026,5.72352
4556,3,4085,5.72487
4623,3,4143,5.73074
4690,3,4199,5.74126
4757,3,4262,5.74959
4824,3,4318,5.75051
4891,3,4377,5.74993
4958,3,4436,5.75592
