step,max_distance,k_max,entropy
0,1,3,1.59255
67,3,24,4.77207
134,3,37,5.43934
201,3,46,5.8409
268,3,56,6.12908
335,4,64,6.3463
402,4,68,6.52056
469,4,78,6.67356
536,4,86,6.80664
603,4,94,6.92276
670,4,101,7.02931
737,4,104,7.1234
804,4,109,7.21066
871,4,114,7.28977
938,5,124,7.36365
1005,5,127,7.43112
1072,5,131,7.49393
1139,5,142,7.55299
1206,5,144,7.60917
1273,5,148,7.66556
1340,5,152,7.71583
1407,5,156,7.76333
1474,5,160,7.81033
1541,5,166,7.85288
1608,5,174,7.89424
1675,5,182,7.93408
1742,5,186,7.97279
1809,5,189,8.00974
1876,5,196,8.04586
1943,5,200,8.08228
2010,5,204,8.11566
2077,5,213,8.14789
2144,5,218,8.17985
2211,5,219,8.2104
2278,5,222,8.24028
2345,5,225,8.26882
2412,5,228,8.29718
2479,5,234,8.32501
2546,5,238,8.35126
2613,5,244,8.37763
2680,5,248,8.40277
2747,5,255,8.4267
2814,5,258,8.45059
2881,5,261,8.47393
2948,5,265,8.4967
3015,5,269,8.51896
3082,5,276,8.54094
3149,5,281,8.56285
3216,5,288,8.58408
3283,5,289,8.60482
3350,5,292,8.62385
3417,5,293,8.64359
3484,6,294,8.66339
3551,6,300,8.6821
3618,6,306,8.70136
3685,6,310,8.71966
3752,6,313,8.73689
3819,6,318,8.75454
3886,6,322,8.77149
3953,6,326,8.7884
4020,6,329,8.80471
4087,6,333,8.82133
4154,6,337,8.83732
4221,6,339,8.85375
4288,6,341,8.86936
4355,6,345,8.88477
4422,6,347,8.90047
4489,6,354,8.91564
4556,6,357,8.93049
4623,6,362,8.94478
4690,6,366,8.9591
4757,6,368,8.97285
4824,6,372,8.9866
4891,6,375,9.00038
4958,6,378,9.01428
5025,6,384,9.02789
5092,6,393,9.04113
5159,6,398,9.05446
5226,6,406,9.06688
5293,6,410,9.07984
5360,6,415,9.09188
5427,6,421,9.10415
5494,6,425,9.11642
5561,6,429,9.1285
5628,6,437,9.14051
5695,6,441,9.15186
5762,6,443,9.16357
5829,6,449,9.17491
5896,6,452,9.18621
5963,6,453,9.19745
6030,6,458,9.20871
6097,6,463,9.21946
6164,6,467,9.23068
6231,6,474,9.24159
6298,6,479,9.25194
6365,6,482,9.26231
6432,6,485,9.27264
6499,6,489,9.28297
6566,6,494,9.29325
6633,6,498,9.30282
6700,6,501,9.31269
6767,6,506,9.3225
6834,6,510,9.3322
6901,6,513,9.34161
6968,6,518,9.35096
7035,6,524,9.3605
7102,6,525,9.3695
7169,6,528,9.37917
7236,6,534,9.38865
7303,6,539,9.39762
7370,6,543,9.40663
7437,6,550,9.4157
7504,6,555,9.42483
7571,6,561,9.43386
7638,6,565,9.44274
7705,6,571,9.45187
7772,6,572,9.46069
7839,6,575,9.46929
7906,6,580,9.47776
7973,6,584,9.48621
8040,6,590,9.49442
8107,7,593,9.5026
8174,7,597,9.51087
8241,7,600,9.51906
8308,7,602,9.52693
8375,7,603,9.5347
8442,7,608,9.5428
8509,7,612,9.55085
8576,7,617,9.55887
8643,7,626,9.5661
8710,7,630,9.57367
8777,7,631,9.58119
8844,7,636,9.5884
8911,7,641,9.59562
8978,7,643,9.60311
9045,7,644,9.61066
9112,7,648,9.61772
9179,7,652,9.62493
9246,7,657,9.63217
9313,7,659,9.63953
9380,7,661,9.6466
9447,7,664,9.65379
9514,7,668,9.66075
9581,7,668,9.66753
9648,7,670,9.67451
9715,7,676,9.68148
9782,7,682,9.68848
9849,7,685,9.69521
9916,7,689,9.70202
9983,7,693,9.70868
