step,max_distance,k_max,entropy
0,1,3,1.37392
67,4,11,4.19825
134,6,15,4.85277
201,6,15,5.25009
268,7,19,5.54275
335,7,19,5.75972
402,8,20,5.94215
469,8,20,6.09346
536,8,20,6.2267
603,8,21,6.34443
670,8,21,6.44804
737,8,22,6.54403
804,8,23,6.63058
871,9,23,6.70892
938,9,23,6.7832
1005,9,23,6.85215
1072,10,23,6.91547
1139,10,24,6.97696
1206,10,24,7.033
1273,10,24,7.08617
1340,10,24,7.13704
1407,10,24,7.18638
1474,10,25,7.23413
1541,10,26,7.27833
1608,11,26,7.31964
1675,11,26,7.36121
1742,11,26,7.40099
1809,11,26,7.4372
1876,11,26,7.4726
1943,11,26,7.50725
2010,11,26,7.54065
2077,11,26,7.57342
2144,11,26,7.6048
2211,11,26,7.63552
2278,11,26,7.66532
2345,12,26,7.69341
2412,12,26,7.72241
2479,12,26,7.75
2546,12,26,7.77685
2613,12,26,7.80367
2680,12,26,7.82909
2747,12,26,7.85374
2814,12,26,7.87906
2881,12,26,7.90236
2948,12,26,7.92498
3015,12,26,7.94643
3082,12,26,7.96788
3149,12,26,7.98938
3216,12,26,8.01083
3283,12,26,8.03126
3350,12,26,8.05159
3417,12,27,8.0717
3484,12,27,8.09138
3551,12,27,8.11017
3618,12,27,8.1288
3685,12,27,8.1466
3752,12,27,8.16509
3819,12,27,8.18245
3886,12,27,8.2004
3953,12,27,8.21718
4020,12,27,8.23446
4087,12,27,8.25119
4154,12,27,8.26706
4221,12,27,8.28324
4288,12,27,8.29873
4355,12,27,8.31428
4422,12,27,8.33004
4489,12,28,8.34513
4556,12,28,8.35989
4623,12,28,8.37454
4690,12,29,8.3884
4757,12,29,8.40266
4824,12,29,8.41657
4891,12,29,8.43024
4958,12,29,8.44408
