step,max_distance,k_max,entropy
0,1,3,1.36404
67,4,12,3.84895
134,5,17,4.47712
201,5,17,4.84545
268,5,18,5.20775
335,6,20,5.45398
402,6,21,5.59455
469,7,22,5.73236
536,7,22,5.83854
603,7,22,5.96183
670,7,23,6.07133
737,8,23,6.18591
804,8,23,6.27072
871,8,24,6.36666
938,8,24,6.41721
1005,8,24,6.4994
1072,8,24,6.55484
1139,8,25,6.60264
1206,8,26,6.66355
1273,8,27,6.7119
1340,8,28,6.78072
1407,9,28,6.82096
1474,9,28,6.85878
1541,9,28,6.9183
1608,9,30,6.957
1675,9,30,7.00971
1742,9,30,7.03407
1809,9,30,7.05379
1876,9,30,7.08417
1943,9,30,7.11093
2010,9,30,7.12872
2077,9,30,7.19133
2144,9,30,7.2299
2211,9,30,7.26124
2278,9,30,7.2859
2345,9,30,7.31907
2412,9,30,7.34717
2479,10,30,7.37617
