step,max_distance,k_max,entropy
0,1,3,1.59687
67,3,22,4.87341
134,3,37,5.53333
201,4,43,5.93596
268,4,53,6.21681
335,4,58,6.43811
402,4,61,6.61964
469,4,70,6.77298
536,4,75,6.90704
603,4,81,7.02405
670,5,89,7.13005
737,5,96,7.22508
804,5,104,7.31152
871,5,111,7.39166
938,5,117,7.46548
1005,5,126,7.53416
1072,5,137,7.59797
1139,5,140,7.65769
1206,5,146,7.7153
1273,5,150,7.76915
1340,5,153,7.82103
1407,5,155,7.87
1474,5,159,7.91675
1541,5,163,7.96065
1608,5,165,8.00315
1675,6,168,8.04398
1742,6,172,8.08265
1809,6,177,8.12011
1876,6,180,8.15638
1943,6,185,8.19192
2010,6,194,8.22603
2077,6,197,8.25868
2144,6,201,8.29048
2211,6,207,8.32129
2278,6,208,8.35146
2345,6,214,8.38031
2412,6,216,8.40862
2479,6,219,8.43566
2546,6,221,8.46241
2613,6,224,8.48816
2680,6,226,8.51318
2747,6,230,8.53803
2814,6,230,8.56242
2881,6,232,8.58558
2948,6,236,8.60841
3015,6,238,8.63106
3082,6,240,8.6531
3149,6,242,8.6749
3216,6,246,8.69587
3283,6,246,8.71617
3350,6,246,8.73645
3417,6,250,8.75651
3484,6,254,8.77618
3551,6,257,8.79536
3618,6,258,8.81403
3685,6,262,8.8322
3752,6,269,8.85032
3819,6,271,8.8681
3886,6,274,8.8855
3953,6,278,8.90262
4020,6,280,8.91946
4087,6,282,8.93587
4154,6,285,8.95206
4221,6,288,8.968
4288,6,292,8.98356
4355,6,293,8.99896
4422,6,295,9.01431
4489,6,299,9.02908
4556,6,303,9.04366
4623,6,306,9.05814
4690,6,309,9.07262
4757,6,312,9.08687
4824,6,313,9.10079
4891,6,313,9.11476
4958,6,313,9.1283
5025,6,316,9.14178
5092,6,317,9.15521
5159,6,320,9.16819
5226,6,322,9.18116
5293,6,324,9.19399
5360,6,327,9.20632
5427,6,329,9.21855
5494,7,329,9.23068
5561,7,332,9.24277
5628,7,335,9.25447
5695,7,335,9.26614
5762,7,339,9.27785
5829,7,340,9.28958
5896,7,343,9.30125
5963,7,343,9.31245
6030,7,346,9.32348
6097,7,347,9.33453
6164,7,350,9.34538
6231,7,350,9.3564
6298,7,351,9.36728
6365,7,355,9.37792
6432,7,358,9.38837
6499,7,360,9.39861
6566,7,361,9.40893
6633,7,362,9.41897
6700,7,363,9.42915
6767,7,364,9.43904
6834,7,367,9.4489
6901,7,368,9.45867
6968,7,370,9.46829
7035,7,374,9.47795
7102,7,377,9.48733
7169,7,378,9.49681
7236,7,379,9.50602
7303,7,383,9.51528
7370,7,384,9.52425
7437,7,386,9.53346
7504,7,388,9.54246
7571,8,392,9.55122
7638,8,396,9.55987
7705,8,398,9.56854
7772,8,399,9.57717
7839,8,404,9.58572
7906,8,406,9.59421
7973,8,406,9.60274
8040,8,408,9.6111
8107,8,409,9.61926
8174,8,409,9.62745
8241,8,409,9.63569
8308,8,409,9.64372
8375,8,409,9.65166
8442,8,410,9.65971
8509,8,410,9.66765
8576,8,411,9.67549
8643,8,413,9.68322
8710,8,416,9.69091
8777,8,416,9.69851
8844,8,418,9.70603
8911,8,420,9.7136
8978,8,422,9.72112
9045,8,422,9.72859
9112,8,424,9.73593
9179,8,424,9.74328
9246,8,424,9.75061
9313,8,427,9.75784
9380,8,429,9.76488
9447,8,433,9.77201
9514,8,435,9.77911
9581,8,437,9.78606
9648,8,437,9.79311
9715,8,437,9.79995
9782,8,439,9.80699
9849,8,440,9.81373
9916,8,441,9.82052
9983,8,442,9.82729
