step,max_distance,k_max,entropy
0,1,3,1.60645
67,4,30,4.78174
134,4,42,5.46672
201,5,55,5.85605
268,5,65,6.14639
335,5,76,6.3654
402,5,85,6.54496
469,5,95,6.69315
536,5,101,6.82128
603,5,112,6.93535
670,6,119,7.04071
737,6,124,7.13512
804,6,131,7.22074
871,6,143,7.30008
938,6,147,7.37396
1005,6,152,7.44344
1072,6,155,7.5076
1139,6,159,7.56671
1206,6,165,7.62318
1273,6,175,7.67798
1340,6,181,7.7275
1407,6,185,7.77616
1474,6,190,7.82125
1541,6,193,7.86529
1608,6,201,7.90681
1675,6,207,7.9478
1742,6,210,7.987
1809,6,216,8.02444
1876,6,222,8.06006
1943,6,227,8.09529
2010,6,232,8.12883
2077,6,233,8.16296
2144,6,236,8.19529
2211,6,241,8.22575
2278,6,248,8.25525
2345,6,252,8.28387
2412,6,256,8.31207
2479,6,262,8.33945
