step,max_distance,k_max,entropy
0,1,3,1.45648
67,2,49,4.30301
134,3,75,4.99283
201,3,102,5.36948
268,3,132,5.62412
335,3,157,5.8155
402,3,177,5.96893
469,3,201,6.10321
536,4,218,6.23151
603,4,237,6.3339
670,4,256,6.43999
737,4,269,6.52861
804,4,290,6.6088
871,4,314,6.67765
938,4,322,6.74547
1005,4,332,6.80632
1072,4,346,6.8667
1139,4,360,6.92461
1206,4,375,6.97937
1273,4,391,7.02766
1340,4,405,7.07634
1407,4,417,7.12345
1474,4,432,7.16466
1541,4,446,7.20291
1608,4,465,7.23943
1675,4,482,7.27963
1742,4,491,7.31434
1809,4,513,7.35165
1876,4,527,7.38739
1943,4,543,7.41152
2010,4,556,7.44336
2077,4,573,7.47499
2144,4,582,7.5053
2211,4,593,7.53623
2278,4,608,7.56244
2345,4,617,7.58763
2412,4,628,7.61843
2479,4,637,7.64472
