step,max_distance,k_max,entropy
0,1,3,0.00728882
67,6,14,0.101144
134,9,17,3.34132
201,9,27,3.34596e-07
268,9,32,1.67223e-08
335,11,32,1.70844e-08
402,11,32,2.16531
469,11,32,1.64169
536,13,32,0.0145776
603,16,32,0.00731447
670,22,32,0.693147
737,24,32,0.000813403
804,25,32,1.10134
871,25,32,0.0154889
938,25,32,4.29792
1005,25,32,1.469e-09
1072,25,32,0.00102684
1139,25,32,4.31709
1206,25,32,0.0145913
1273,25,32,0.00837721
1340,25,47,0.0291319
1407,25,51,0.69316
1474,25,51,4.67686
1541,27,51,0.693148
1608,27,51,2.20223
1675,27,51,5.05437
1742,27,51,1.95176e-08
1809,27,51,6.47078e-05
1876,27,51,1.109
1943,27,51,2.00369
2010,31,51,0.0459174
2077,31,51,5.31704e-05
2144,31,51,0.698044
2211,31,51,1.24731e-05
2278,32,51,0.727229
2345,32,51,1.41408
2412,32,51,1.09862
2479,32,51,8.8153e-08
2546,32,51,1.45011
2613,32,51,5.52689
2680,32,51,0.014619
2747,32,51,2.39678
2814,33,51,0.0073013
2881,33,51,3.74576e-05
2948,33,51,0.00731858
3015,33,51,5.69053
3082,33,51,2.01819
3149,33,51,1.69088
3216,33,51,0.00730599
3283,33,51,1.24729e-05
3350,34,51,0.706067
3417,37,51,1.95078
3484,37,51,6.77555e-09
3551,37,51,3.05004e-05
3618,37,52,0.0259043
3685,37,52,7.58638e-12
3752,37,52,0.0114252
3819,37,52,2.49857e-05
3886,38,52,1.95589
3953,38,52,0.0188585
4020,38,52,1.79813
4087,38,52,1.82311
4154,38,52,0.00443025
4221,41,52,1.1147
4288,43,52,0.0119875
4355,43,52,1.67302e-08
4422,43,52,5.62845e-05
4489,43,52,1.90532
4556,43,52,3.15731e-05
4623,43,52,2.884e-11
4690,43,52,0.0122382
4757,43,52,2.22734
4824,43,52,2.17862
4891,43,52,0.00732049
4958,43,52,2.00162
