step,max_distance,k_max,entropy
0,1,3,1.02688
67,2,69,0.344398
134,2,136,0.568104
201,2,201,0.577944
268,2,268,0.560326
335,2,334,0.53195
402,2,399,0.521352
469,2,465,0.491766
536,2,532,0.514176
603,2,598,0.504781
670,2,663,0.514641
737,2,728,0.55617
804,2,795,0.534742
871,2,862,0.527914
938,2,927,0.54554
1005,2,994,0.542338
1072,2,1058,0.534824
1139,2,1124,0.539237
1206,2,1188,0.547915
1273,2,1254,0.547676
1340,2,1320,0.544197
1407,2,1387,0.563325
1474,2,1451,0.557692
1541,2,1518,0.547936
1608,2,1583,0.542827
1675,2,1648,0.535499
1742,2,1713,0.53356
1809,2,1779,0.525861
1876,2,1846,0.527431
1943,2,1913,0.550093
2010,2,1979,0.555699
2077,2,2045,0.56734
2144,2,2111,0.567999
2211,2,2178,0.569509
2278,2,2243,0.568969
2345,2,2307,0.57584
2412,2,2373,0.582044
2479,2,2436,0.580645
2546,2,2501,0.576829
2613,2,2568,0.572079
2680,2,2635,0.582339
2747,2,2701,0.581299
2814,2,2766,0.586185
2881,2,2829,0.597056
2948,2,2895,0.595802
3015,2,2961,0.609365
3082,2,3028,0.61035
3149,2,3094,0.613626
3216,2,3161,0.614813
3283,2,3226,0.614027
3350,2,3293,0.609903
3417,2,3358,0.610083
3484,2,3422,0.614647
3551,2,3486,0.619958
3618,2,3552,0.630311
3685,2,3617,0.634859
3752,2,3683,0.639782
3819,2,3748,0.646986
3886,2,3815,0.640997
3953,2,3879,0.648476
4020,2,3944,0.654876
4087,2,4010,0.654501
4154,2,4076,0.652654
4221,2,4142,0.650763
4288,2,4207,0.649515
4355,2,4271,0.647293
4422,2,4336,0.644661
4489,2,4401,0.647775
4556,2,4466,0.646021
4623,2,4532,0.645525
4690,2,4596,0.643339
4757,2,4663,0.639166
4824,2,4728,0.638618
4891,2,4794,0.638116
4958,2,4858,0.638034
