step,max_distance,k_max,entropy
0,1,3,1.45336
67,2,56,4.33462
134,2,104,4.93881
201,3,144,5.34557
268,3,182,5.60964
335,3,222,5.81657
402,3,264,5.99935
469,3,303,6.16053
536,3,341,6.2884
603,3,378,6.39522
670,3,414,6.50527
737,3,448,6.58679
804,3,487,6.67087
871,3,513,6.74528
938,3,555,6.81914
1005,3,592,6.87425
1072,3,635,6.93506
1139,3,674,6.99544
1206,3,710,7.05415
1273,3,741,7.11509
1340,3,781,7.15832
1407,3,815,7.2114
1474,3,856,7.25441
1541,3,887,7.29395
1608,3,929,7.32824
1675,3,974,7.36861
1742,3,1016,7.40219
1809,3,1054,7.43606
1876,3,1091,7.47056
1943,3,1129,7.50374
2010,3,1158,7.53666
2077,3,1194,7.56618
2144,4,1228,7.59881
2211,4,1266,7.63127
2278,4,1303,7.65616
2345,4,1339,7.68646
2412,4,1374,7.71652
2479,4,1415,7.73898
