step,max_distance,k_max,entropy
0,1,3,1.37392
67,3,15,4.19202
134,4,18,4.86462
201,5,18,5.26711
268,5,18,5.55101
335,5,18,5.77075
402,5,19,5.95107
469,6,20,6.10558
536,6,20,6.23591
603,6,20,6.3497
670,7,21,6.45238
737,7,21,6.54795
804,7,21,6.63629
871,7,22,6.71803
938,7,22,6.79224
1005,7,22,6.85944
1072,7,23,6.92294
1139,7,24,6.98479
1206,7,24,7.0407
1273,7,25,7.09472
1340,7,25,7.14568
1407,7,25,7.19381
1474,7,25,7.23707
1541,7,25,7.28165
1608,8,27,7.32324
1675,8,27,7.36448
1742,8,27,7.40337
1809,8,27,7.44024
1876,8,27,7.4759
1943,8,27,7.51112
2010,8,28,7.54414
2077,8,28,7.57688
2144,8,28,7.60888
2211,8,28,7.63949
2278,8,28,7.66972
2345,8,28,7.6991
2412,8,28,7.72654
2479,8,28,7.75304
