step,max_distance,k_max,entropy
0,1,3,1.38593
67,5,11,4.26173
134,5,12,4.92644
201,6,13,5.32216
268,6,14,5.60494
335,6,14,5.82522
402,8,15,6.00558
469,8,15,6.15833
536,8,15,6.29081
603,8,15,6.40778
670,8,15,6.51248
737,8,15,6.60727
804,8,15,6.69384
871,8,16,6.77349
938,8,16,6.84728
1005,8,16,6.91601
1072,8,17,6.9803
1139,8,18,7.04071
1206,8,18,7.09767
1273,8,18,7.15158
1340,8,18,7.20271
1407,8,18,7.25136
1474,8,18,7.29774
1541,8,18,7.34208
1608,8,18,7.38453
1675,8,18,7.42525
1742,8,18,7.46438
1809,8,18,7.50203
1876,9,20,7.53834
1943,9,20,7.57335
2010,9,20,7.60718
2077,9,20,7.6399
2144,9,20,7.6716
2211,9,20,7.70232
2278,9,20,7.73212
2345,9,20,7.76105
2412,9,20,7.78917
2479,9,20,7.81653
2546,9,20,7.84316
2613,9,20,7.86909
2680,9,20,7.89437
2747,9,20,7.91904
2814,9,20,7.94311
2881,9,20,7.9666
2948,9,20,7.98956
3015,9,20,8.01201
3082,9,20,8.03396
3149,9,20,8.05544
3216,9,20,8.07647
3283,9,20,8.09706
3350,9,20,8.11723
3417,9,20,8.13701
3484,9,20,8.15641
3551,9,20,8.17543
3618,9,20,8.1941
3685,9,20,8.21243
3752,9,20,8.23043
3819,9,20,8.24811
3886,9,20,8.26549
3953,9,20,8.28257
4020,9,20,8.29936
4087,9,20,8.31587
4154,9,20,8.33212
4221,9,20,8.3481
4288,9,20,8.36384
4355,9,20,8.37933
4422,9,20,8.39459
4489,9,20,8.40961
4556,9,20,8.42442
4623,9,20,8.439
4690,9,20,8.45338
4757,9,20,8.46755
4824,9,20,8.48153
4891,9,20,8.49531
4958,9,20,8.5089
5025,9,20,8.52232
5092,9,20,8.53555
5159,9,20,8.54862
5226,9,20,8.56151
5293,9,20,8.57424
5360,9,20,8.58681
5427,9,20,8.59922
5494,9,20,8.61148
5561,9,20,8.62359
5628,9,21,8.63556
5695,10,21,8.64738
5762,10,21,8.65907
5829,10,21,8.67062
5896,10,21,8.68205
5963,10,22,8.69333
6030,10,22,8.7045
6097,10,22,8.71554
6164,10,22,8.72646
6231,10,23,8.73726
6298,10,23,8.74795
6365,10,23,8.75852
6432,10,23,8.76899
6499,10,23,8.77934
6566,10,23,8.78959
6633,10,23,8.79974
6700,10,23,8.80979
6767,10,23,8.81973
6834,10,23,8.82958
6901,10,23,8.83933
6968,10,23,8.84898
7035,10,23,8.85855
7102,10,23,8.86803
7169,10,23,8.87741
7236,10,23,8.8867
7303,10,23,8.89591
7370,10,23,8.90504
7437,10,23,8.91409
7504,10,23,8.92305
7571,10,23,8.93194
7638,10,23,8.94075
7705,10,23,8.94947
7772,10,23,8.95813
7839,10,23,8.9667
7906,10,23,8.97521
7973,10,23,8.98364
8040,10,23,8.99201
8107,10,23,9.0003
8174,10,23,9.00853
8241,10,23,9.01669
8308,10,23,9.02478
8375,10,23,9.03281
8442,10,23,9.04077
8509,10,23,9.04867
8576,10,23,9.05651
8643,10,23,9.06429
8710,10,23,9.07201
8777,10,23,9.07967
8844,10,23,9.08727
8911,10,23,9.09481
8978,10,23,9.1023
9045,10,23,9.10974
9112,10,23,9.11711
9179,10,23,9.12443
9246,10,23,9.1317
9313,10,23,9.13892
9380,10,23,9.14608
9447,10,23,9.15319
9514,10,23,9.16026
9581,10,23,9.16727
9648,10,23,9.17424
9715,10,23,9.18116
9782,10,23,9.18803
9849,10,23,9.19485
9916,10,23,9.20163
9983,10,23,9.20836
