step,max_distance,k_max,entropy
0,1,3,0.673014
67,1,70,5.02525e-05
134,1,137,0.00683877
201,1,204,0.00610442
268,1,271,0.00466491
335,1,338,0.00378306
402,1,405,0.00320765
469,1,472,0.00277491
536,1,539,0.00305017
603,1,606,0.00274225
670,1,673,0.0024901
737,2,738,0.0557056
804,2,805,0.0516972
871,2,872,0.0482676
938,2,939,0.0456399
1005,2,1006,0.0430109
1072,2,1073,0.0463771
1139,2,1140,0.0491298
1206,2,1206,0.0514435
1273,2,1273,0.0535751
1340,2,1340,0.0512781
1407,2,1407,0.0496691
1474,2,1474,0.0477265
1541,2,1541,0.0459418
1608,2,1608,0.0512765
1675,2,1675,0.0527582
1742,2,1742,0.0510269
1809,2,1809,0.0494081
1876,2,1876,0.047899
1943,2,1943,0.0468464
2010,2,2010,0.0456802
2077,2,2077,0.0447527
2144,2,2144,0.0437123
2211,2,2211,0.0427314
2278,2,2278,0.0416507
2345,2,2345,0.0407787
2412,2,2412,0.0399499
2479,2,2479,0.0390185
2546,2,2546,0.0381309
2613,2,2613,0.0372867
2680,2,2680,0.0486834
2747,2,2747,0.0476536
2814,2,2814,0.0492996
2881,2,2881,0.0485526
2948,2,2948,0.0475944
3015,2,3015,0.0576522
3082,2,3082,0.0565636
3149,2,3149,0.0578978
3216,2,3216,0.0569584
3283,2,3283,0.0559459
3350,2,3350,0.0549699
3417,2,3416,0.0559122
3484,2,3482,0.0568824
3551,2,3549,0.0561521
3618,2,3615,0.0662795
3685,2,3682,0.0653282
3752,2,3749,0.0645059
3819,2,3816,0.0637113
3886,2,3883,0.0627522
3953,2,3950,0.0634696
4020,2,4017,0.064051
4087,2,4084,0.063137
4154,2,4151,0.0622494
4221,2,4218,0.0613872
4288,2,4285,0.0605499
4355,2,4352,0.0597373
4422,2,4419,0.0589467
4489,2,4486,0.0582615
4556,2,4553,0.0575142
4623,2,4620,0.0581013
4690,2,4686,0.0589827
4757,2,4753,0.0582569
4824,2,4820,0.0587995
4891,2,4887,0.0580976
4958,2,4953,0.0586942
5025,2,5019,0.0605216
5092,2,5086,0.0609903
5159,2,5152,0.0615
5226,2,5219,0.0633358
5293,2,5286,0.0627093
5360,2,5352,0.0634582
5427,2,5419,0.0627788
5494,2,5486,0.0621128
5561,2,5552,0.0689414
5628,2,5618,0.069603
5695,2,5685,0.0702072
5762,2,5751,0.0708386
5829,2,5817,0.0714002
5896,2,5884,0.0706946
5963,2,5951,0.0701919
6030,2,6018,0.0695738
6097,2,6085,0.0689068
6164,2,6152,0.0692844
6231,2,6218,0.0708038
6298,2,6285,0.0710809
6365,2,6352,0.0704881
6432,2,6419,0.0699084
6499,2,6486,0.0693381
6566,2,6553,0.0687221
6633,2,6620,0.0681752
6700,2,6687,0.067583
6767,2,6754,0.0670001
6834,2,6821,0.0725904
6901,2,6888,0.0719761
6968,2,6955,0.0722139
7035,2,7022,0.0733169
7102,2,7089,0.0728211
7169,2,7156,0.0740279
7236,2,7223,0.0734829
7303,2,7289,0.0737649
7370,2,7355,0.0740861
7437,2,7422,0.0735058
7504,2,7489,0.0729346
7571,2,7554,0.0741483
7638,2,7621,0.0735814
7705,2,7688,0.0737742
7772,2,7755,0.0732701
7839,2,7822,0.0727244
7906,2,7889,0.072236
7973,2,7956,0.0717081
8040,2,8023,0.071187
8107,2,8089,0.072322
8174,2,8156,0.0725152
8241,2,8222,0.0728674
8308,2,8289,0.0724481
8375,2,8356,0.0726795
8442,2,8422,0.0729138
8509,2,8489,0.0737646
8576,2,8556,0.0748595
8643,2,8623,0.0750587
8710,2,8689,0.0754978
8777,2,8756,0.0764089
8844,2,8823,0.0759063
8911,2,8890,0.0754102
8978,2,8957,0.0749222
9045,2,9024,0.0760145
9112,2,9091,0.0755291
9179,2,9158,0.0750498
9246,2,9225,0.0745773
9313,2,9291,0.0750755
9380,2,9358,0.0746506
9447,2,9425,0.0748331
9514,2,9491,0.0756304
9581,2,9556,0.0758779
9648,2,9623,0.0754597
9715,2,9690,0.0750069
9782,2,9757,0.0751397
9849,2,9824,0.074695
9916,2,9891,0.0748253
9983,2,9956,0.076614
