step,max_distance,k_max,entropy
0,1,3,1.51374
67,3,45,4.55473
134,4,68,5.22311
201,5,87,5.57946
268,5,98,5.87802
335,5,109,6.0927
402,5,127,6.2665
469,5,137,6.39703
536,5,149,6.52375
603,5,163,6.64529
670,5,171,6.74595
737,5,188,6.83923
804,5,201,6.92576
871,5,210,7.00779
938,5,223,7.0869
1005,5,233,7.14573
1072,5,242,7.21178
1139,6,246,7.26816
1206,6,255,7.32387
1273,6,267,7.37843
1340,6,276,7.42635
1407,6,283,7.47733
1474,6,293,7.52654
1541,6,304,7.57086
1608,6,308,7.6103
1675,6,319,7.64962
1742,6,328,7.68829
1809,6,334,7.72262
1876,6,340,7.75697
1943,6,347,7.79296
2010,6,354,7.82205
2077,6,363,7.8558
2144,6,376,7.8894
2211,6,386,7.9179
2278,6,393,7.94603
2345,6,399,7.9737
2412,6,403,8.00037
2479,6,409,8.02483
2546,6,415,8.04913
2613,6,420,8.07294
2680,6,430,8.09812
2747,6,435,8.12222
2814,6,442,8.14242
2881,6,448,8.1657
2948,6,452,8.18964
3015,6,455,8.2115
3082,6,462,8.23103
3149,6,466,8.25157
3216,6,469,8.2726
3283,6,471,8.29181
3350,6,476,8.31286
3417,6,479,8.32941
3484,6,487,8.34899
3551,6,492,8.36525
3618,6,499,8.38257
3685,6,508,8.40073
3752,6,515,8.41881
3819,6,524,8.4371
3886,6,530,8.45478
3953,7,542,8.46918
4020,7,549,8.48554
4087,7,552,8.49995
4154,7,559,8.51681
4221,7,564,8.53361
4288,7,568,8.54975
4355,7,576,8.56509
4422,7,582,8.57995
4489,7,586,8.59619
4556,7,590,8.60984
4623,7,592,8.62332
4690,7,595,8.63803
4757,7,600,8.65283
4824,7,609,8.66764
4891,7,611,8.68156
4958,7,614,8.69368
5025,7,620,8.7067
5092,7,624,8.71964
5159,7,628,8.73177
5226,7,633,8.74416
5293,7,639,8.75619
5360,7,649,8.76862
5427,7,656,8.78181
5494,7,660,8.7944
5561,7,667,8.80728
5628,7,669,8.81912
5695,7,675,8.83141
5762,7,680,8.84164
5829,7,683,8.8528
5896,7,693,8.8647
5963,7,700,8.87495
6030,7,703,8.88578
6097,7,705,8.89656
6164,7,712,8.90699
6231,7,718,8.91779
6298,7,721,8.92857
6365,7,722,8.9393
6432,7,726,8.94873
6499,7,731,8.95855
6566,7,734,8.96799
6633,7,737,8.9779
6700,7,742,8.98669
6767,7,748,8.99626
6834,7,757,9.00521
6901,7,761,9.01435
6968,7,766,9.02483
7035,7,774,9.03465
7102,7,783,9.04227
7169,7,792,9.05166
7236,7,798,9.06121
7303,7,805,9.07008
7370,7,809,9.0793
7437,7,817,9.08828
7504,7,829,9.09597
7571,7,837,9.1046
7638,7,844,9.11384
7705,7,852,9.12143
7772,7,865,9.12942
7839,7,869,9.13764
7906,7,877,9.14536
7973,7,884,9.15378
8040,7,894,9.16117
8107,7,905,9.16944
8174,7,915,9.17708
8241,7,921,9.18488
8308,7,932,9.19265
8375,7,945,9.20053
8442,7,953,9.20834
8509,7,957,9.217
8576,7,968,9.22472
8643,7,980,9.23197
8710,7,989,9.23933
8777,7,1001,9.24679
8844,7,1011,9.25294
8911,7,1019,9.25974
8978,7,1027,9.26694
9045,7,1034,9.27482
9112,7,1041,9.2821
9179,7,1048,9.2891
9246,7,1057,9.29625
9313,7,1065,9.30177
9380,7,1074,9.30811
9447,7,1082,9.31445
9514,7,1095,9.32122
9581,7,1103,9.32851
9648,7,1112,9.3354
9715,7,1117,9.34196
9782,7,1122,9.34933
9849,7,1138,9.3549
9916,7,1146,9.36164
9983,7,1156,9.36655
