Node,Curvature
0,-16
1,-396.333
2,-1458.5
3,-90.1667
4,-190.667
5,-165.333
6,-108.667
7,-38.6667
8,-39.8333
9,-80.1667
10,-62.3333
11,-4.83333
12,-105.667
13,-9.33333
14,-47.8333
15,-38.5
16,-36.3333
17,-24.3333
18,-136.167
19,-40.1667
20,-157.5
21,-41.8333
22,-41.8333
23,-4.5
24,-21.1667
25,-14.3333
26,-2.5
27,-15.6667
28,-20.5
29,-4.33333
30,-2.83333
31,-50
32,-6.66667
33,-24.5
34,-94.3333
35,-26.6667
36,-4.83333
37,-1.83333
38,-20
39,-17.5
40,-20.3333
41,-77
42,-8
43,-12.5
44,-4.33333
45,-3.66667
46,-17.6667
47,-21.3333
48,-16.6667
49,-2.83333
50,-31
51,-4.83333
52,-5.33333
53,-1.5
54,-16.8333
55,-1.33333
56,-3.5
57,-16
58,-15
59,-65.1667
60,-7
61,-67
62,-51.6667
63,-23.5
64,-37.5
65,-0.166667
66,-4.83333
67,-8.16667
68,-12.6667
69,-2
70,-1.66667
71,-7.33333
72,-37.6667
73,-4.66667
74,-16.6667
75,-3.33333
76,-11
77,-27
78,-30
79,-22.5
80,-2.33333
81,-14.3333
82,-53.1667
83,-6.66667
84,-2.16667
85,-1.66667
86,-16
87,-6.5
88,-2.33333
89,-25.3333
90,-3
91,-1
92,-7.5
93,-2.16667
94,-1.83333
95,-11.1667
96,-12
97,-7.33333
98,-14.1667
99,-0.833333
100,-6.5
101,-1.5
102,-2.66667
103,-2.33333
104,-1
105,-0.833333
106,-6
107,-12.8333
108,-6
109,-4.16667
110,-0.666667
111,-40.3333
112,-45.3333
113,-1.33333
114,-24.1667
115,-15.5
116,-7.16667
117,-3.16667
118,-26.3333
119,-63.8333
120,-25
121,-10.6667
122,0.166667
123,-20.8333
124,-5.16667
125,-21.6667
126,-26.8333
127,-9.33333
128,-6.33333
129,-15.6667
130,-3.5
131,-24.6667
132,-0.5
133,-17.1667
134,-7.5
135,-4.33333
136,-1.33333
137,-21.3333
138,-3
139,-9.5
140,-19
141,-21.1667
142,-1.16667
143,-20.1667
144,-0.666667
145,-6.5
146,-14.5
147,-2.16667
148,-1.33333
149,-3.5
150,-2.33333
151,-17.3333
152,-3.33333
153,-5
154,-15.6667
155,-13.6667
156,-14.8333
157,0.166667
158,-9.83333
159,-3.5
160,-46.3333
161,-16
162,-15
163,-14.6667
164,-13.3333
165,-14.8333
166,-12
167,-3.16667
168,-21.1667
169,-1
170,-0.5
171,-6.33333
172,0.166667
173,-6.5
174,-10.6667
175,-3.33333
176,-0.666667
177,-12.1667
178,-22.5
179,-8.83333
180,-8.5
181,-1
182,-14.1667
183,-26.3333
184,-4.83333
185,-4.66667
186,-0.833333
187,-13.8333
188,-4
189,-2
190,-10.3333
191,-7.66667
192,-2.5
193,-1.66667
194,-7.16667
195,-20.3333
196,-7
197,-2.5
198,-6
199,-0.666667
200,-10.8333
201,-3.33333
202,-2.33333
203,-0.166667
204,-41.6667
205,-0.333333
206,-8.5
207,-9.66667
208,-10.3333
209,-13.8333
210,-3.5
211,-0.166667
212,-8.33333
213,-11.8333
214,-2.5
215,-0.666667
216,-13.6667
217,-6.33333
218,-1.5
219,-12.5
220,0
221,-20.5
222,-3.83333
223,-8
224,0.166667
225,-13
226,-30.1667
227,-1.16667
228,-4.16667
229,-1.33333
230,-19.5
231,-5.16667
232,-4
233,-6.66667
234,-17.1667
235,-17.5
236,-12.5
237,-0.666667
238,-8.83333
239,-1
240,-3.33333
241,-18.3333
242,-6.16667
243,-6.66667
244,-6.66667
245,-11.8333
246,-20.3333
247,-2.66667
248,-0.166667
249,-3.33333
250,-17.3333
251,-1.83333
252,-17.1667
253,-8.16667
254,-7.83333
255,0.166667
256,-24.8333
257,-7.16667
258,-7
259,-15
260,-11.8333
261,-1.83333
262,-2
263,-21.8333
264,-13.3333
265,-6
266,-2.66667
267,0.166667
268,-3.16667
269,0.166667
270,-5.33333
271,-3.16667
272,-5.83333
273,-4.83333
274,-14.5
275,-10.1667
276,-5.5
277,-3
278,-15.1667
279,-5.66667
280,-3.16667
281,-1.5
282,-13.1667
283,0.333333
284,-12.3333
285,-0.333333
286,-0.833333
287,-44.1667
288,-4
289,-5.33333
290,-7.83333
291,-15
292,-11.1667
293,-7
294,-2.5
295,-2.16667
296,-9.5
297,-0.833333
298,-1
299,-4.33333
300,-3.5
301,-2.66667
302,-1.5
303,-20.3333
304,-2.66667
305,-13
306,-11
307,-3.33333
308,-7.5
309,0
310,-1.33333
311,-1
