step,max_distance,k_max,entropy
0,1,3,5.88266e-08
67,1,70,5.78445e-09
134,1,137,4.55501e-09
201,1,204,1.39155e-05
268,1,271,2.13262e-05
335,1,338,2.60031e-05
402,1,405,2.19468e-05
469,1,472,1.90096e-05
536,1,539,2.23733e-05
603,1,606,2.50491e-05
670,1,673,2.26979e-05
737,1,740,2.07599e-05
804,1,807,1.91341e-05
871,1,874,1.7751e-05
938,1,941,1.65586e-05
1005,1,1008,1.552e-05
1072,1,1075,1.75277e-05
1139,1,1142,1.65573e-05
1206,1,1209,1.83056e-05
1273,1,1276,1.73985e-05
1340,1,1343,1.89466e-05
1407,1,1410,1.80966e-05
1474,1,1477,1.73215e-05
1541,1,1544,1.66121e-05
1608,1,1611,0.019071
1675,1,1678,0.0184082
1742,1,1745,0.0215402
1809,1,1812,0.0208527
1876,1,1879,0.0202088
1943,1,1946,0.0196059
2010,1,2013,0.0190386
2077,1,2080,0.0215712
2144,1,2147,0.0209878
2211,1,2214,0.0204369
2278,1,2281,0.0199174
2345,1,2348,0.0194266
2412,1,2415,0.0189597
2479,1,2482,0.0185148
2546,1,2549,0.0180915
2613,1,2616,0.0176883
2680,1,2683,0.0173037
2747,1,2750,0.0169377
2814,1,2817,0.0165866
2881,1,2884,0.0206573
2948,1,2951,0.0202511
3015,1,3018,0.0198627
3082,1,3085,0.0194888
3149,1,3152,0.0210899
3216,1,3219,0.0207102
3283,1,3286,0.0203449
3350,1,3353,0.019993
3417,1,3420,0.0196538
3484,1,3487,0.0193266
3551,1,3554,0.0224382
3618,1,3621,0.0220802
3685,1,3688,0.0233494
3752,1,3755,0.0229907
3819,1,3822,0.0226437
3886,1,3888,0.0241966
3953,1,3955,0.0324895
4020,1,4022,0.0320221
4087,1,4089,0.0315679
4154,1,4156,0.0311264
4221,1,4223,0.0321153
4288,1,4290,0.0316815
4355,1,4357,0.0312593
4422,1,4424,0.0308488
4489,1,4491,0.0304504
4556,1,4558,0.030062
4623,1,4625,0.0296841
4690,1,4691,0.0309212
4757,1,4758,0.0305432
4824,1,4825,0.0301749
4891,1,4892,0.0313637
4958,1,4959,0.0309956
5025,1,5026,0.0306366
5092,1,5093,0.0302869
5159,1,5160,0.029945
5226,1,5227,0.0296118
5293,1,5294,0.0292871
5360,1,5361,0.0289692
5427,1,5428,0.028658
5494,1,5495,0.0283538
5561,1,5562,0.028057
5628,1,5629,0.0277661
5695,1,5696,0.0274816
5762,1,5763,0.0272031
5829,1,5830,0.0269312
5896,1,5897,0.0266651
5963,1,5964,0.0264038
6030,1,6031,0.0261486
6097,1,6098,0.0258979
6164,1,6165,0.0256535
6231,1,6232,0.0254127
6298,1,6299,0.0251768
6365,1,6366,0.0259359
6432,1,6433,0.0257003
6499,1,6500,0.0254692
6566,1,6567,0.0252425
6633,1,6634,0.0250201
6700,1,6701,0.0257379
6767,1,6768,0.0255158
6834,1,6835,0.0252983
6901,1,6902,0.0250841
6968,1,6969,0.0248738
7035,1,7036,0.0246671
7102,1,7103,0.0244641
7169,1,7170,0.0242651
7236,1,7237,0.0249364
7303,1,7304,0.0247375
7370,1,7371,0.0245419
7437,1,7438,0.024349
7504,1,7505,0.0241594
7571,1,7572,0.0288327
7638,1,7639,0.0294305
7705,1,7706,0.031052
7772,1,7773,0.0308182
7839,1,7840,0.0305881
7906,1,7907,0.0303621
7973,1,7974,0.0301396
8040,1,8041,0.0299205
8107,1,8108,0.0342727
8174,1,8175,0.034027
8241,1,8242,0.0337846
8308,1,8309,0.0335458
8375,1,8376,0.0333106
8442,1,8443,0.0338158
8509,1,8510,0.0335826
8576,1,8577,0.0333532
8643,1,8644,0.0331267
8710,1,8711,0.0329034
8777,1,8778,0.0326832
8844,1,8845,0.0324662
8911,1,8911,0.034047
8978,1,8978,0.0338242
9045,1,9045,0.0336046
9112,1,9112,0.0340731
9179,1,9179,0.0338556
9246,1,9246,0.033641
9313,1,9313,0.0342745
9380,1,9380,0.0340599
9447,1,9446,0.0353147
9514,1,9513,0.035097
9581,1,9580,0.034882
9648,1,9647,0.0346698
9715,1,9714,0.0344603
9782,1,9781,0.0342535
9849,1,9848,0.0348287
9916,1,9915,0.0384366
9983,1,9982,0.0419983
