step,max_distance,k_max,entropy
0,1,3,1.02706
67,1,66,1.3792
134,1,132,1.72753
201,1,196,2.0821
268,1,260,2.09222
335,1,324,2.11158
402,1,390,2.26334
469,2,455,2.30357
536,2,519,2.38677
603,2,580,2.51943
670,2,643,2.65692
737,2,708,2.73565
804,2,772,2.80661
871,2,835,2.83098
938,2,898,2.88957
1005,2,962,2.95202
1072,2,1026,2.9696
1139,2,1091,3.00208
1206,2,1157,3.01174
1273,2,1218,3.04257
1340,2,1282,3.05219
1407,2,1343,3.06675
1474,2,1405,3.14006
1541,2,1469,3.15787
1608,2,1531,3.20367
1675,2,1592,3.20866
1742,2,1654,3.25974
1809,2,1720,3.28412
1876,2,1786,3.29095
1943,2,1849,3.30627
2010,2,1914,3.32446
2077,2,1975,3.34202
2144,2,2039,3.36173
2211,2,2103,3.39873
2278,2,2165,3.41431
2345,2,2229,3.42761
2412,2,2288,3.44874
2479,2,2352,3.46687
2546,2,2413,3.48447
2613,2,2477,3.49579
2680,2,2544,3.52696
2747,2,2606,3.53028
2814,2,2669,3.57137
2881,2,2732,3.58433
2948,2,2797,3.5997
3015,2,2860,3.60682
3082,2,2924,3.62096
3149,2,2986,3.65239
3216,2,3051,3.67904
3283,2,3116,3.6881
3350,2,3180,3.70922
3417,2,3245,3.71413
3484,2,3309,3.72207
3551,2,3374,3.73539
3618,2,3436,3.76591
3685,2,3499,3.79945
3752,2,3562,3.79768
3819,2,3625,3.81453
3886,2,3687,3.83526
3953,2,3750,3.85286
4020,2,3812,3.86489
4087,2,3877,3.88006
4154,2,3939,3.89299
4221,2,4000,3.90724
4288,2,4063,3.92183
4355,2,4127,3.93138
4422,2,4193,3.9443
4489,2,4256,3.94934
4556,2,4318,3.96415
4623,2,4382,3.98455
4690,2,4449,3.99326
4757,2,4512,3.99978
4824,2,4576,4.00103
4891,2,4643,4.01299
4958,2,4706,4.02149
