step,max_distance,k_max,entropy
0,1,3,1.38913
67,2,38,4.24961
134,2,74,4.91134
201,3,101,5.32877
268,3,137,5.5635
335,3,171,5.76808
402,3,204,5.93333
469,3,240,6.09127
536,3,276,6.23335
603,3,315,6.33844
670,3,356,6.44637
737,3,388,6.52627
804,3,418,6.60194
871,3,451,6.68426
938,3,498,6.75978
1005,4,530,6.83092
1072,4,569,6.89117
1139,4,608,6.94559
1206,4,644,7.00494
1273,4,681,7.06278
1340,4,724,7.11093
1407,4,755,7.1577
1474,4,792,7.20451
1541,4,828,7.24764
1608,4,869,7.29036
1675,4,904,7.33674
1742,4,945,7.37404
1809,4,980,7.40395
1876,4,1021,7.44057
1943,4,1057,7.47085
2010,4,1094,7.50299
2077,4,1125,7.53625
2144,4,1163,7.57344
2211,4,1201,7.60363
2278,4,1234,7.62837
2345,4,1275,7.65909
2412,4,1306,7.69117
2479,4,1346,7.71982
2546,4,1385,7.74661
2613,4,1418,7.77133
2680,4,1446,7.79371
2747,4,1490,7.81944
2814,4,1524,7.84169
2881,4,1564,7.86269
2948,4,1608,7.88623
3015,4,1646,7.90832
3082,4,1673,7.93062
3149,4,1705,7.95213
3216,4,1747,7.97184
3283,4,1792,7.99232
3350,4,1832,8.01056
3417,4,1868,8.0279
3484,4,1909,8.04899
3551,4,1944,8.06627
3618,4,1986,8.08556
3685,4,2022,8.10589
3752,4,2060,8.12485
3819,4,2102,8.14172
3886,4,2138,8.15946
3953,4,2173,8.17695
4020,4,2215,8.19439
4087,4,2253,8.21254
4154,4,2290,8.22857
4221,4,2324,8.2456
4288,4,2359,8.25965
4355,4,2395,8.27808
4422,4,2433,8.29288
4489,4,2470,8.30776
4556,4,2503,8.3252
4623,4,2538,8.33944
4690,4,2574,8.35393
4757,4,2609,8.37028
4824,4,2647,8.38134
4891,4,2680,8.3952
4958,4,2714,8.4065
5025,4,2752,8.42053
5092,4,2785,8.43286
5159,4,2822,8.44462
5226,4,2856,8.4573
5293,4,2890,8.46954
5360,4,2924,8.4832
5427,4,2957,8.49517
5494,4,2993,8.50707
5561,4,3025,8.5212
5628,4,3065,8.53178
5695,4,3101,8.54232
5762,4,3145,8.55331
5829,4,3182,8.56598
5896,4,3212,8.57748
5963,4,3248,8.58841
6030,4,3289,8.5977
6097,4,3330,8.60825
6164,4,3361,8.62004
6231,4,3404,8.63162
6298,4,3437,8.64094
6365,4,3473,8.6524
6432,4,3509,8.66395
6499,4,3541,8.67416
6566,4,3577,8.68385
6633,4,3615,8.69339
6700,4,3655,8.70154
6767,4,3690,8.71241
6834,4,3729,8.72237
6901,4,3764,8.7311
6968,4,3793,8.74214
7035,4,3823,8.75192
7102,4,3861,8.76165
7169,5,3902,8.77179
7236,5,3937,8.77979
7303,5,3972,8.78965
7370,5,4012,8.80089
7437,5,4051,8.80978
7504,5,4091,8.81837
7571,5,4126,8.82757
7638,5,4159,8.83686
7705,5,4189,8.8468
7772,5,4232,8.85418
7839,5,4264,8.86435
7906,5,4302,8.87177
7973,5,4336,8.8785
8040,5,4379,8.88655
8107,5,4414,8.89641
8174,5,4451,8.90439
8241,5,4479,8.91134
8308,5,4514,8.91922
8375,5,4553,8.927
8442,5,4584,8.9363
8509,5,4620,8.94607
8576,5,4658,8.95509
8643,5,4696,8.96202
8710,5,4727,8.97046
8777,5,4760,8.97923
8844,5,4797,8.98543
8911,5,4838,8.99349
8978,5,4877,9.00018
9045,5,4909,9.00741
9112,5,4944,9.01484
9179,5,4984,9.02226
9246,5,5024,9.03021
9313,5,5064,9.03716
9380,5,5101,9.04501
9447,5,5131,9.05237
9514,5,5163,9.05863
9581,5,5201,9.06601
9648,5,5239,9.07382
9715,5,5273,9.08055
9782,5,5313,9.08754
9849,5,5354,9.09481
9916,5,5389,9.10072
9983,5,5426,9.10701
