step,max_distance,k_max,entropy
0,1,3,1.34324
67,4,13,4.19561
134,5,16,4.84859
201,6,17,5.24819
268,7,19,5.54016
335,7,19,5.76118
402,7,19,5.94221
469,8,19,6.09806
536,8,20,6.22858
603,8,21,6.34663
670,8,21,6.45115
737,8,21,6.5433
804,8,22,6.63181
871,8,23,6.71157
938,8,23,6.78403
1005,8,23,6.8524
1072,8,23,6.91673
1139,8,23,6.97681
1206,8,23,7.03292
1273,8,23,7.0864
1340,8,24,7.13763
1407,8,24,7.18593
1474,8,24,7.23331
1541,9,24,7.27841
1608,9,24,7.32154
1675,9,24,7.36334
1742,9,24,7.40316
1809,9,24,7.44073
1876,9,24,7.47751
1943,9,25,7.51179
2010,9,25,7.5448
2077,9,25,7.57763
2144,9,25,7.60912
2211,9,25,7.63913
2278,9,25,7.66833
2345,9,25,7.69733
2412,9,25,7.72471
2479,9,25,7.75269
2546,9,25,7.77988
2613,9,26,7.80624
2680,9,26,7.83125
2747,9,26,7.85548
2814,9,26,7.87941
2881,9,26,7.90313
2948,9,26,7.92692
3015,9,26,7.94821
3082,9,26,7.9695
3149,9,26,7.9907
3216,9,26,8.01232
3283,9,26,8.03349
3350,9,26,8.05331
3417,9,26,8.07257
3484,10,26,8.09172
3551,10,26,8.11035
3618,10,26,8.12905
3685,10,26,8.14718
3752,10,26,8.16508
3819,10,26,8.18298
3886,10,26,8.20096
3953,10,26,8.21721
4020,10,26,8.23417
4087,10,26,8.25064
4154,10,26,8.26696
4221,10,26,8.28323
4288,10,26,8.29884
4355,10,26,8.31437
4422,10,26,8.32974
4489,10,26,8.34475
4556,10,26,8.35959
4623,10,26,8.3743
4690,10,26,8.38866
4757,10,26,8.40277
4824,10,26,8.41712
4891,10,26,8.43112
4958,10,26,8.44479
