step,max_distance,k_max,entropy
0,1,3,1.57737
67,3,35,4.83162
134,3,54,5.49054
201,4,66,5.89299
268,4,83,6.17755
335,4,98,6.39866
402,4,106,6.58018
469,4,121,6.73046
536,4,134,6.86529
603,5,151,6.98101
670,5,165,7.08591
737,5,180,7.17986
804,5,192,7.26654
871,5,203,7.34699
938,5,211,7.42119
1005,5,228,7.49039
1072,5,243,7.55308
1139,5,255,7.61405
1206,5,264,7.67047
1273,5,270,7.72655
1340,5,285,7.77811
1407,5,292,7.82814
1474,5,301,7.87451
1541,5,311,7.91909
1608,5,321,7.96201
1675,5,325,8.00253
1742,5,333,8.04167
1809,6,341,8.07933
1876,6,349,8.11634
1943,6,362,8.15197
2010,6,375,8.18566
2077,6,385,8.21881
2144,6,392,8.25067
2211,6,402,8.28093
2278,6,412,8.31096
2345,6,422,8.33927
2412,6,428,8.36781
2479,6,434,8.39545
2546,6,441,8.42219
2613,6,447,8.44797
2680,6,452,8.47296
2747,6,461,8.49791
2814,6,465,8.52227
2881,6,472,8.54612
2948,6,478,8.56926
3015,6,484,8.59174
3082,6,488,8.61393
3149,6,495,8.63575
3216,6,505,8.65667
3283,6,510,8.67746
3350,6,513,8.6975
3417,6,518,8.71708
3484,6,526,8.73673
3551,6,534,8.7561
3618,6,539,8.77519
3685,6,546,8.79355
3752,6,558,8.81158
3819,6,564,8.82961
3886,6,570,8.8469
3953,6,577,8.86407
4020,6,583,8.8808
4087,6,592,8.8971
4154,6,600,8.91364
4221,6,607,8.92975
4288,6,614,8.94518
4355,6,622,8.96044
4422,6,630,8.97614
4489,6,641,8.99108
4556,6,647,9.00567
4623,6,654,9.02013
4690,6,662,9.03457
4757,6,667,9.04875
4824,6,674,9.06269
4891,6,674,9.07666
4958,6,677,9.0906
5025,6,684,9.10382
5092,6,692,9.11727
5159,6,700,9.13034
5226,6,705,9.14338
5293,6,709,9.15637
5360,6,718,9.16891
5427,6,731,9.1814
5494,6,736,9.19371
5561,6,741,9.2058
5628,6,753,9.21784
5695,6,757,9.22987
5762,6,764,9.24155
5829,6,770,9.25304
5896,6,776,9.26447
5963,6,779,9.27582
6030,6,789,9.28716
6097,6,792,9.29818
6164,6,799,9.30926
6231,6,803,9.32028
6298,6,808,9.33106
6365,6,815,9.34172
6432,6,821,9.35197
6499,6,833,9.36232
6566,6,841,9.37263
6633,6,850,9.38295
6700,6,855,9.39308
6767,6,862,9.40307
6834,6,869,9.41288
6901,6,874,9.42267
6968,6,881,9.43239
7035,6,891,9.44201
7102,6,898,9.45142
7169,6,904,9.46102
7236,6,908,9.47033
7303,6,914,9.47954
7370,6,917,9.48867
7437,6,925,9.49769
7504,6,929,9.50659
7571,6,936,9.51549
7638,6,943,9.52425
7705,6,949,9.53308
7772,6,956,9.54165
7839,6,969,9.55009
7906,6,978,9.55871
7973,6,984,9.56733
8040,6,992,9.57559
8107,6,996,9.58379
8174,6,1004,9.59216
8241,7,1006,9.60039
8308,7,1009,9.60858
8375,7,1014,9.61657
8442,7,1018,9.62462
8509,7,1021,9.63262
8576,7,1024,9.64054
8643,7,1036,9.64834
8710,7,1043,9.65611
8777,7,1047,9.6638
8844,7,1052,9.67137
8911,7,1057,9.67887
8978,7,1065,9.68631
9045,7,1068,9.69397
9112,7,1075,9.7013
9179,7,1082,9.70859
9246,7,1085,9.71592
9313,7,1091,9.72311
9380,7,1095,9.73023
9447,7,1101,9.73729
9514,7,1108,9.7443
9581,7,1111,9.75144
9648,7,1116,9.7583
9715,7,1124,9.76516
9782,7,1131,9.77212
9849,7,1134,9.77906
9916,7,1139,9.78584
9983,7,1145,9.79252
