step,max_distance,k_max,entropy
0,1,3,1.59191
67,2,33,4.86473
134,3,48,5.5261
201,4,59,5.92623
268,4,75,6.20988
335,4,90,6.4297
402,5,96,6.61179
469,5,110,6.76189
536,5,121,6.89624
603,5,136,7.01298
670,5,150,7.11904
737,5,164,7.21422
804,5,175,7.30097
871,5,186,7.38151
938,5,194,7.45466
1005,5,205,7.5223
1072,5,219,7.58695
1139,5,229,7.64818
1206,5,238,7.70547
1273,5,244,7.76041
1340,5,257,7.81129
1407,5,264,7.8609
1474,5,272,7.90791
1541,5,280,7.95256
1608,5,285,7.99482
1675,5,289,8.03502
1742,5,297,8.07344
1809,5,303,8.11118
1876,5,308,8.14762
1943,5,319,8.1827
2010,5,330,8.21639
2077,5,337,8.24917
2144,5,342,8.28126
2211,5,351,8.31203
2278,5,359,8.34257
2345,5,368,8.3713
2412,5,373,8.39968
2479,6,376,8.42703
2546,6,383,8.45365
2613,6,387,8.47946
2680,6,390,8.50468
2747,6,396,8.52966
2814,6,399,8.55387
2881,6,406,8.57763
2948,6,412,8.60064
3015,6,417,8.62301
3082,6,420,8.64498
3149,6,425,8.66691
3216,6,431,8.68812
3283,6,435,8.70893
3350,6,438,8.72921
3417,6,443,8.74899
3484,6,450,8.76885
3551,6,455,8.78815
3618,6,458,8.80684
3685,6,463,8.82492
3752,6,473,8.84278
3819,6,477,8.86085
3886,6,482,8.8783
3953,6,489,8.89542
4020,6,494,8.91222
4087,6,501,8.92872
4154,6,507,8.94482
4221,6,514,8.96087
4288,6,520,8.97639
4355,6,527,8.99213
4422,6,534,9.00741
4489,6,541,9.02233
4556,6,547,9.0372
4623,6,552,9.05184
4690,6,558,9.06603
4757,6,562,9.08031
4824,6,565,9.09435
4891,6,565,9.10822
4958,6,567,9.12197
