step,max_distance,k_max,entropy
0,1,3,4.93772e-06
67,6,39,1.1139
134,9,44,0.000499421
201,13,44,0.00212115
268,13,44,4.8949e-06
335,13,49,4.33814e-08
402,14,49,1.49048
469,14,49,3.72711
536,14,49,0.694035
603,14,49,0.0429333
670,14,49,2.26554
737,14,49,0.272193
804,14,51,4.55095
871,14,51,2.26621
938,16,51,0.0401796
1005,16,51,4.63179
1072,16,51,2.51609
1139,17,51,4.45292e-06
1206,17,55,2.89555
1273,20,55,0.580204
1340,21,55,3.04569
1407,24,55,2.07148e-05
1474,24,55,2.49443
1541,24,55,0.0997899
1608,24,55,0.0617908
1675,24,55,0.0564608
1742,25,55,0.0560154
1809,25,55,2.65365
1876,25,55,0.0541695
1943,25,55,3.67113e-10
2010,25,55,4.96958
2077,25,55,1.57982e-05
2144,25,55,3.15038
2211,25,55,0.0041912
2278,25,55,5.15603
2345,25,55,2.96409
2412,25,55,2.98933
2479,25,55,3.62591
2546,25,55,0.207404
2613,25,58,3.73224
2680,25,58,5.00802e-06
2747,25,58,3.78999
2814,25,58,2.84129e-05
2881,25,58,0.884075
2948,25,58,3.94019
3015,25,58,3.38463
3082,26,58,3.04802
3149,26,58,5.53559
3216,26,58,0.19277
3283,26,58,3.13449
3350,26,58,5.56554
3417,26,58,3.55965
3484,26,58,0.0820348
3551,26,58,1.13946
3618,26,58,9.23954e-08
3685,26,58,3.52211
3752,26,58,3.32812
3819,26,58,1.31727
3886,26,58,4.03
3953,26,58,0.00207293
4020,26,58,2.49365e-07
4087,26,58,4.12577
4154,26,58,3.46157
4221,26,58,0.000523695
4288,26,58,0.000499379
4355,26,58,3.79537
4422,26,58,4.69571
4489,26,58,3.55407
4556,26,58,4.16225
4623,26,58,4.12693
4690,26,58,3.62948
4757,26,58,4.04381
4824,26,58,3.67918e-10
4891,26,58,0.809625
4958,26,58,1.99883e-07
