step,max_distance,k_max,entropy
0,1,3,1.38248
67,4,12,4.25459
134,5,14,4.91898
201,6,15,5.31514
268,6,17,5.59802
335,6,17,5.81828
402,7,17,5.99886
469,7,18,6.15197
536,7,18,6.28433
603,7,20,6.40154
670,7,21,6.50646
737,7,21,6.60095
804,8,21,6.68799
871,8,22,6.76768
938,8,22,6.84139
1005,8,22,6.90996
1072,8,22,6.97438
1139,8,22,7.03484
1206,9,22,7.09181
1273,9,22,7.14585
1340,9,23,7.19722
1407,9,23,7.2457
1474,9,23,7.29216
1541,9,23,7.33655
1608,9,23,7.37903
1675,9,23,7.4198
1742,9,23,7.45906
1809,9,23,7.49678
1876,9,23,7.53301
1943,9,23,7.56799
2010,9,23,7.60182
2077,9,23,7.63447
2144,9,23,7.66614
2211,9,23,7.69685
2278,9,23,7.72661
2345,9,23,7.75554
2412,9,23,7.78358
2479,9,23,7.811
