step,max_distance,k_max,entropy
0,1,3,2.90088e-12
67,6,15,0.00149839
134,8,16,5.22202e-11
201,11,20,0.693397
268,12,23,1.15752e-19
335,13,24,1.60974
402,16,24,0.00798844
469,20,24,2.30773
536,21,24,2.83668
603,27,24,1.79326
670,32,24,0.000999058
737,37,24,0.00100092
804,38,24,3.87295
871,38,24,1.73191e-06
938,38,24,8.71011e-12
1005,38,24,8.67222e-08
1072,38,31,2.25146e-06
1139,38,31,0.0264185
1206,38,31,3.66712
1273,38,31,3.61487
1340,38,35,0.701139
1407,38,35,0.0119873
1474,38,35,0.693397
1541,38,35,3.5317
1608,38,40,0.000499378
1675,38,40,3.89578
1742,38,40,1.39354
1809,41,40,1.11092
1876,41,40,4.38474
1943,43,40,0.000499378
2010,43,44,1.09895
2077,43,44,4.58742
2144,43,44,0.000503058
2211,43,44,0.693147
2278,43,44,0.693649
2345,43,44,0.693649
2412,43,44,0.693147
2479,44,44,0.723046
2546,44,44,0.693147
2613,44,44,4.80658
2680,44,44,1.67167e-28
2747,44,44,0.725034
2814,44,44,3.85782e-20
2881,44,44,1.62441
2948,44,44,0.730496
3015,44,44,0.000499421
3082,45,44,2.1471e-14
3149,45,44,4.8153
3216,46,44,4.32871e-08
3283,48,45,1.40288
3350,48,92,1.62381
3417,49,92,4.93742
3484,49,92,4.87076
3551,49,92,0.0631133
3618,51,92,1.73534e-07
3685,51,92,1.61014
3752,51,92,2.71324
3819,51,92,2.71371
3886,51,92,0.000499378
3953,51,92,2.64598
4020,51,92,0.742645
4087,51,92,0.743388
4154,51,92,0.10348
4221,55,92,0.000509378
4288,55,92,5.47018
4355,55,92,1.41607
4422,55,92,1.63387
4489,56,92,0.693147
4556,56,92,7.07997e-10
4623,56,92,0.000998842
4690,58,92,5.54342
4757,58,92,5.52768
4824,58,92,4.34484e-14
4891,62,92,1.73891e-07
4958,65,92,0.693403
