step,max_distance,k_max,entropy
0,1,3,0.000499378
67,5,19,1.61084
134,5,24,1.61193
201,7,32,7.79252e-07
268,8,32,2.90122e-12
335,8,35,2.90394e-12
402,8,35,2.59966e-07
469,10,35,1.61174
536,12,35,0.000998755
603,15,35,4.32871e-08
670,20,35,0.693147
737,23,36,2.94377e-06
804,23,36,0.693648
871,23,36,0.00100204
938,24,44,3.37675e-06
1005,24,44,2.37909e-10
1072,24,44,0.0472584
1139,24,44,0.0427996
1206,24,44,1.38642
1273,24,44,4.32922e-06
1340,24,44,1.09911
1407,25,44,0.693147
1474,25,44,4.73762
1541,25,44,1.93548e-20
1608,25,44,1.95611
1675,25,44,5.0763
1742,25,45,5.82718e-12
1809,25,45,1.73569e-07
1876,25,45,1.09878
1943,25,45,1.12999
2010,29,45,1.62958
2077,29,45,1.73723e-07
2144,29,45,0.000499378
2211,29,45,4.32842e-08
2278,29,45,0.00300561
2345,29,45,5.46914
2412,29,45,1.09861
2479,29,47,1.16476e-11
2546,29,47,7.4562e-10
2613,29,47,5.5808
2680,29,47,0.000998886
2747,29,47,2.09609
2814,29,58,0.693147
2881,29,58,8.65772e-08
2948,29,58,4.32872e-08
3015,29,58,0.151331
3082,29,58,1.81734
3149,29,58,5.72471
3216,29,58,0.000499422
3283,29,58,4.32842e-08
3350,29,58,1.09895
3417,29,58,1.64459
3484,29,58,6.35876e-14
3551,29,58,8.76216e-08
3618,29,58,0.00151371
3685,29,58,0.000515524
3752,29,58,0.00101481
3819,29,58,8.65714e-08
3886,33,58,0.189633
3953,33,58,1.71863e-05
4020,33,58,0.195429
4087,33,58,0.793415
4154,33,58,6.00253
4221,33,58,1.09962
4288,33,58,6.04847
4355,33,58,2.90122e-12
4422,33,58,8.77743e-12
4489,33,58,6.06028
4556,33,58,0.212302
4623,33,58,1.73985e-16
4690,33,58,0.798569
4757,33,58,0.21519
4824,33,58,6.06504
4891,33,58,8.78334e-08
4958,33,58,0.221921
