step,max_distance,k_max,entropy
0,1,3,1.38007
67,4,11,4.24529
134,5,14,4.90572
201,7,14,5.30402
268,8,15,5.58912
335,8,15,5.80904
402,9,16,5.989
469,9,16,6.14211
536,10,17,6.27434
603,10,17,6.39124
670,10,17,6.49512
737,10,18,6.58989
804,10,19,6.67663
871,10,19,6.75631
938,10,19,6.82985
1005,10,19,6.89872
1072,10,19,6.96302
1139,10,19,7.02335
1206,10,19,7.08003
1273,10,20,7.13399
1340,10,20,7.18517
1407,10,20,7.23399
1474,10,20,7.28079
1541,10,21,7.32493
1608,10,21,7.36733
1675,11,21,7.40831
1742,11,21,7.44741
1809,11,21,7.48519
1876,11,21,7.52137
1943,11,21,7.55648
2010,11,21,7.59053
2077,11,21,7.62342
2144,11,21,7.65479
2211,11,22,7.68566
2278,11,22,7.71539
2345,11,22,7.74429
2412,11,22,7.77253
2479,11,22,7.79989
2546,11,22,7.82669
2613,11,22,7.85259
2680,11,22,7.87771
2747,11,22,7.90231
2814,11,22,7.92646
2881,11,22,7.94993
2948,11,22,7.97277
3015,11,22,7.99504
3082,11,22,8.01686
3149,11,22,8.03835
3216,12,22,8.05949
3283,12,22,8.08028
3350,12,22,8.10059
3417,12,22,8.12035
3484,12,22,8.13976
3551,12,22,8.1588
3618,12,22,8.17748
3685,12,22,8.19564
3752,12,22,8.21363
3819,12,22,8.23135
3886,12,22,8.24875
3953,12,22,8.26574
4020,12,22,8.28262
4087,12,22,8.2992
4154,12,22,8.31529
4221,12,22,8.33134
4288,12,22,8.34711
4355,13,22,8.36268
4422,13,22,8.37799
4489,13,22,8.3931
4556,13,22,8.40792
4623,13,23,8.42262
4690,13,23,8.43694
4757,13,23,8.45111
4824,13,23,8.46508
4891,13,23,8.4789
4958,13,23,8.49246
5025,13,23,8.50595
5092,13,23,8.51914
5159,13,23,8.53221
5226,13,23,8.54498
5293,13,23,8.55784
5360,13,23,8.57041
5427,13,23,8.5828
5494,13,23,8.595
5561,13,23,8.6071
5628,13,23,8.61919
5695,13,23,8.63098
5762,13,23,8.64267
5829,13,23,8.65422
5896,14,23,8.66566
5963,14,23,8.67704
6030,14,23,8.68812
6097,14,23,8.69913
6164,14,23,8.71003
6231,14,23,8.72089
6298,14,23,8.73162
6365,14,23,8.74224
6432,14,23,8.75277
6499,14,23,8.76313
6566,14,23,8.77335
6633,14,23,8.78352
6700,14,23,8.7935
6767,14,23,8.80338
6834,14,23,8.81329
6901,14,23,8.82308
6968,14,23,8.83269
7035,14,23,8.84224
7102,14,23,8.85174
7169,14,23,8.86111
7236,14,24,8.87043
7303,14,24,8.87962
7370,14,24,8.88881
7437,14,25,8.89783
7504,14,25,8.90673
7571,14,25,8.91562
7638,14,25,8.92438
7705,14,25,8.93313
7772,14,25,8.94187
7839,14,25,8.95045
7906,14,25,8.95887
7973,14,25,8.96732
8040,14,25,8.97561
8107,14,25,8.98389
8174,14,25,8.99209
8241,14,25,9.00026
8308,14,25,9.00837
8375,14,26,9.01636
8442,14,26,9.02434
8509,14,26,9.03223
8576,14,26,9.04008
8643,14,26,9.04779
8710,14,26,9.05549
8777,14,26,9.06313
8844,14,26,9.07072
8911,14,26,9.07831
8978,14,26,9.08579
9045,14,26,9.09326
9112,14,26,9.10064
9179,14,26,9.10801
9246,14,26,9.11529
9313,14,27,9.12248
9380,14,27,9.12967
9447,14,27,9.13677
9514,14,27,9.14382
9581,14,27,9.1509
9648,14,27,9.15785
9715,14,27,9.1648
9782,14,27,9.17169
9849,14,27,9.17851
9916,14,27,9.18527
9983,14,27,9.19196
