step,max_distance,k_max,entropy
0,1,3,0.693152
67,5,16,2.32657
134,6,18,2.58034
201,6,21,2.75819
268,9,21,0.109947
335,10,26,0.0554214
402,10,27,0.907473
469,11,27,1.4218
536,15,27,0.208213
603,20,27,0.326642
670,22,27,0.0183234
737,22,27,0.00904742
804,22,33,1.94986
871,22,33,1.92134
938,22,36,1.55446
1005,22,36,0.0302544
1072,22,36,2.06411
1139,22,41,4.08236
1206,22,41,2.14241
1273,22,41,2.32267
1340,22,41,2.10575
1407,22,41,0.260565
1474,22,41,4.26544
1541,22,41,1.0635
1608,22,41,2.88471
1675,22,41,4.30704
1742,22,41,0.206391
1809,22,41,2.67049
1876,22,41,2.6953
1943,22,41,2.97091
2010,23,41,3.138
2077,23,41,2.91675
2144,23,41,0.0544466
2211,23,41,0.0198689
2278,23,41,0.905382
2345,23,46,3.00281
2412,23,46,1.30629
2479,23,46,2.94248
