step,max_distance,k_max,entropy
0,1,3,0.208176
67,7,13,0.375695
134,8,26,2.2988
201,8,32,0.0415659
268,9,34,0.0828372
335,10,34,0.869133
402,11,41,0.884838
469,13,41,1.41383
536,14,41,0.208213
603,16,41,0.491996
670,18,41,0.0183691
737,19,41,0.000678642
804,19,49,1.8486
871,19,49,1.85648
938,19,60,0.17061
1005,19,64,0.159282
1072,19,64,1.7603
1139,19,64,4.13997
1206,19,64,0.713948
1273,19,64,3.87305
1340,20,64,2.06899
1407,20,64,0.24116
1474,23,64,2.08682
1541,23,64,0.0383472
1608,23,64,3.02274
1675,23,64,4.45733
1742,23,77,0.0179167
1809,24,77,0.452774
1876,24,77,2.52796
1943,24,77,2.7248
2010,24,77,3.51953
2077,24,77,2.86817
2144,24,77,2.9863
2211,24,77,0.0200269
2278,26,77,3.2465
2345,26,77,3.53674
2412,27,77,1.36571
2479,27,77,3.01563
2546,27,77,3.05513
2613,27,78,3.52248
2680,27,78,1.11168
2747,28,78,4.92154
2814,28,78,0.0779841
2881,28,78,0.0947834
2948,28,78,0.000495753
3015,28,78,5.08107
3082,29,78,4.99025
3149,29,78,3.82846
3216,29,78,1.01645
3283,29,78,0.0173246
3350,29,78,3.20036
3417,29,78,4.14727
3484,29,78,1.14017
3551,29,78,1.17828
3618,29,78,0.898749
3685,29,78,3.74878
3752,29,78,3.75557
3819,29,78,0.721931
3886,29,78,3.81779
3953,29,78,3.62165
4020,29,78,3.83984
4087,29,78,4.3607
4154,29,78,5.34419
4221,29,79,3.31523
4288,29,79,4.37119
4355,29,79,0.00586569
4422,29,79,1.28513
4489,29,79,5.33125
4556,29,79,0.087159
4623,29,79,1.08634
4690,29,79,3.88343
4757,29,79,4.2422
4824,29,79,5.50182
4891,30,79,0.170479
4958,32,79,4.15209
