step,max_distance,k_max,entropy
0,1,3,1.59595
67,3,37,4.82293
134,3,55,5.50534
201,3,69,5.90353
268,3,85,6.19006
335,3,99,6.41328
402,3,120,6.59229
469,3,132,6.74449
536,4,148,6.87744
603,4,159,6.99517
670,5,175,7.10029
737,5,190,7.19476
804,5,208,7.28151
871,5,220,7.36284
938,5,230,7.43809
1005,5,247,7.50438
1072,6,260,7.56876
1139,6,273,7.62925
1206,6,283,7.68752
1273,6,295,7.74117
1340,6,304,7.79197
1407,6,318,7.8405
1474,6,326,7.88649
1541,6,335,7.92979
1608,6,341,7.97206
1675,6,348,8.01306
1742,6,361,8.05289
1809,6,372,8.0905
1876,6,380,8.12744
1943,6,389,8.16247
2010,6,397,8.19669
2077,6,407,8.22935
2144,6,416,8.26103
2211,6,424,8.29094
2278,6,432,8.3206
2345,6,441,8.34969
2412,6,446,8.37792
2479,6,455,8.40525
2546,6,460,8.43195
2613,6,467,8.45784
2680,6,477,8.48265
2747,6,484,8.50737
2814,6,488,8.53184
2881,6,500,8.55526
2948,6,507,8.57828
3015,6,515,8.60102
3082,6,522,8.62308
3149,6,529,8.64456
3216,6,535,8.66544
3283,6,540,8.68604
3350,6,547,8.70627
3417,6,554,8.72581
3484,6,560,8.74519
3551,6,567,8.76466
3618,6,575,8.78366
3685,6,585,8.80174
3752,6,592,8.81982
3819,6,601,8.83752
3886,6,609,8.85484
3953,6,621,8.87152
4020,6,630,8.8884
4087,6,637,8.90503
4154,6,643,8.92116
4221,6,650,8.93729
4288,6,659,8.95297
4355,6,667,8.96856
4422,6,670,8.98415
4489,6,674,8.9993
4556,6,678,9.01418
4623,6,685,9.02899
4690,6,691,9.0434
4757,6,693,9.05787
4824,7,703,9.07187
4891,7,707,9.08568
4958,7,713,9.09886
