Node,Curvature
0,-23.8333
1,-14.3333
2,-27.3333
3,-17
4,-4.5
5,-15.1667
6,-2.83333
7,-10.8333
8,-12.6667
9,-2.5
10,-9.5
11,-1.83333
12,-9.83333
13,-11.1667
14,0
15,-2.66667
16,-12
17,-4
18,-0.666667
19,-2.33333
20,-2.83333
21,-3.16667
22,-7.66667
23,-3.83333
24,0.166667
25,-3.5
26,0
27,-3.83333
28,-1.16667
29,-0.333333
30,-4.5
31,-4.16667
32,-5.5
33,0
34,-0.666667
35,-0.5
36,-1.33333
37,-1.5
38,-2.83333
39,-1.16667
40,-2.83333
41,-1
42,-0.5
43,-1.83333
44,-0.666667
45,-5.33333
46,-1.5
47,-5.16667
48,-0.333333
49,-1
50,-7.16667
51,-1.16667
52,-0.166667
53,-9.5
54,-1.5
55,-0.666667
56,-2
57,-3.16667
58,-0.166667
59,-2.5
60,0.333333
61,-2.66667
62,-2.83333
63,-0.833333
64,-0.666667
65,-6.33333
66,-0.5
67,-2.33333
68,-0.5
69,-2.66667
70,0
71,-0.5
72,-1.5
73,-3.16667
74,-3.66667
75,-0.333333
76,0.166667
77,-1.66667
78,-2
79,-0.833333
80,-0.833333
81,-3.33333
82,-3.83333
83,-1.66667
84,-1.83333
85,0
86,0
87,-1.5
88,-0.666667
89,-0.5
90,-0.666667
91,0
92,-3.16667
93,0
94,-0.833333
95,-2
96,-1.66667
97,-0.5
98,-0.166667
99,-0.333333
100,0
101,0.333333
102,-0.166667
103,-0.5
104,-0.666667
105,-1
106,-1.16667
107,-2
108,0.333333
109,0.333333
110,-0.166667
111,-2.33333
112,0
113,-2.33333
114,-2.66667
115,0.333333
116,-1.16667
117,-1.66667
118,-0.166667
119,0.166667
120,-0.333333
121,0
122,-2.5
123,-0.5
124,0.166667
125,-0.166667
126,0.333333
127,-0.333333
128,0.166667
129,-1.16667
130,-2
131,0.333333
132,-2.83333
133,0
134,-1
135,-0.5
136,-1.66667
137,-1.5
138,-0.333333
139,-0.5
140,0.166667
141,-0.333333
142,-1
143,-0.5
144,-0.5
145,-0.5
146,-0.166667
147,-0.666667
148,-0.5
149,-0.666667
150,-1.66667
151,-2.33333
152,0
153,0
154,0
155,0.166667
156,-0.333333
157,-2
158,-1.33333
159,-0.833333
160,-1.33333
161,-0.833333
162,-0.333333
163,-0.5
164,-0.333333
165,0.333333
166,-0.333333
167,-1
168,-2
169,0.166667
170,-3.83333
171,-0.5
172,-0.833333
173,-0.5
174,-0.333333
175,-0.5
176,0.333333
177,-0.666667
178,-0.666667
179,0
180,0.333333
181,0.166667
182,0.166667
183,0
184,0.166667
185,-0.166667
186,0.166667
187,-0.333333
188,0.333333
189,-1.66667
190,-1.16667
191,0.333333
192,0.333333
193,0.166667
194,0
195,0
196,-0.5
197,0
198,-0.5
199,-1.33333
200,0.333333
201,-0.5
202,-1.33333
203,-0.5
204,-0.333333
205,0.333333
206,-0.5
207,-1.66667
208,-1.5
209,-0.166667
210,-2
211,-0.333333
212,-0.5
213,-0.5
214,-0.166667
215,-1.83333
216,0
217,0.333333
218,0.333333
219,0.333333
220,0.333333
221,-0.666667
222,-0.333333
223,-0.166667
224,0
225,-1.83333
226,-1.5
227,0.166667
228,-1.16667
229,0.333333
230,0.166667
231,-0.666667
232,-0.833333
233,-2.5
234,-0.5
235,0.166667
236,-0.166667
237,0
238,0.166667
239,0.333333
240,-0.833333
241,0.166667
242,0
243,-0.833333
244,-0.666667
245,-1.5
246,0.166667
247,-0.833333
248,-0.166667
249,0.333333
250,-0.166667
251,-0.333333
252,0.166667
253,0.166667
254,-0.166667
255,0.166667
256,0.333333
257,0
258,-1
259,0
260,-0.166667
261,-1
262,-0.5
263,-1.33333
264,0
265,-0.833333
266,0
267,-1
268,-0.833333
269,-0.666667
270,0.333333
271,0
272,-0.166667
273,0.333333
274,-0.166667
275,-0.5
276,0.333333
277,-1
278,-1.5
279,-0.833333
280,-1.5
281,0.333333
282,0
283,0
284,-0.5
285,0
286,-1.16667
287,0.166667
288,0.166667
289,0
290,0
291,0.333333
292,-0.5
293,-0.833333
294,0.333333
295,0.166667
296,0.333333
297,-0.666667
298,0.333333
299,-0.333333
300,-0.833333
301,-0.5
302,0.166667
303,0.166667
304,-0.666667
305,-2.33333
306,0.166667
307,0
308,0.166667
309,0.333333
310,0.333333
311,0.333333
312,-0.833333
313,-0.166667
314,-0.166667
315,-1.5
316,-0.5
317,-0.333333
318,0.333333
319,0.166667
320,0.166667
321,-1
322,-1
323,-0.833333
324,0.166667
325,0.166667
326,0.333333
327,0.166667
328,0.333333
329,-0.833333
330,-0.833333
331,0.333333
332,0.333333
333,0.166667
334,0.333333
335,-0.333333
336,0.166667
337,0.333333
338,-0.333333
339,-0.5
340,-0.166667
341,0.166667
342,0
343,-0.166667
344,0.333333
345,0
346,-0.333333
347,0.333333
348,-0.5
349,0.333333
350,-0.666667
351,0
352,-1.33333
353,0
354,0.166667
355,0.333333
356,0.166667
357,-0.166667
358,0.333333
359,-0.166667
360,-0.333333
361,-0.5
362,0
363,0.166667
364,-0.166667
365,0
366,-0.166667
367,-0.166667
368,0.333333
369,0.166667
370,0.166667
371,0.333333
372,-1.5
373,0.333333
374,-0.333333
375,-1.16667
376,-1.16667
377,-0.5
378,-0.166667
379,-0.166667
380,0.166667
381,-0.333333
382,0.166667
383,-0.166667
384,0
385,0
386,0.166667
387,0
388,0
389,0.166667
390,-0.333333
391,0.333333
392,0.333333
393,0.333333
394,-0.166667
395,0.166667
396,-0.5
397,0
398,-0.5
399,0.333333
400,-0.333333
401,0.333333
402,-1
403,-0.333333
404,-0.5
405,0.166667
406,0.333333
407,0.333333
408,0.333333
409,-0.333333
410,0.333333
411,-0.166667
412,-0.166667
413,0.166667
414,0.166667
415,-0.166667
416,-0.666667
417,0.166667
418,-0.333333
419,0
420,-0.166667
421,-1.16667
422,-1
423,0.166667
424,0.166667
425,-0.333333
426,0
427,0.166667
428,0
429,0.166667
430,0.333333
431,0.333333
432,-0.166667
433,0.333333
434,-0.833333
435,-0.166667
436,-0.166667
437,-0.166667
438,0
439,-0.666667
440,0.333333
441,0.166667
442,0.333333
443,-0.666667
444,0.333333
445,0.166667
446,-0.5
447,0.333333
448,0.166667
449,0.166667
450,0
451,0.333333
452,0.166667
453,0.166667
454,0.166667
455,0.166667
456,0.333333
457,0.333333
458,0.166667
459,0.333333
460,0
461,0.166667
462,0.166667
463,0.166667
464,0.333333
465,0.166667
466,0.166667
467,0.333333
468,-0.666667
469,0.166667
470,0.166667
471,0.166667
472,0.166667
473,-0.166667
474,0.166667
475,-0.166667
476,0
477,0.333333
478,-0.666667
479,0.333333
480,-0.333333
481,0.333333
482,-0.666667
483,0.166667
484,0.166667
485,0.333333
486,0
487,0.333333
488,0.166667
489,-0.166667
490,0.333333
491,-0.166667
492,0.166667
493,-0.166667
494,0
495,0
496,0.166667
497,0
498,0
499,-0.5
500,0
501,0.333333
502,-0.333333
503,0.166667
504,0.166667
505,-0.833333
506,0
507,0.333333
508,0.333333
509,0.166667
510,0
511,0
