Source,Target,Energy,NumTriangles
0,1,8,2
0,2,10,2
0,4,9,2
0,34,9,2
0,38,12,2
0,39,11,2
0,50,14,1
0,79,12,2
0,284,10,2
0,456,8,2
0,517,15,1
1,2,8,2
1,3,9,2
1,4,7,2
1,6,7,2
1,9,11,2
1,12,6,2
1,14,9,2
1,20,7,2
1,21,10,2
1,26,18,1
1,32,9,2
1,41,7,2
1,42,9,2
1,49,11,2
1,315,15,1
2,3,11,2
2,5,8,2
2,7,11,2
2,17,12,2
2,31,12,2
2,34,9,2
2,40,13,2
2,45,9,2
2,56,13,1
2,326,10,2
2,419,13,1
3,5,9,2
3,13,18,2
3,20,10,2
3,29,13,2
3,194,13,2
3,442,15,2
3,648,13,2
3,752,13,1
3,915,20,1
4,6,8,2
4,11,14,1
4,79,11,2
4,218,11,2
4,292,9,2
4,460,16,1
5,7,9,2
5,8,6,2
5,10,10,2
5,13,15,2
5,16,11,2
5,27,7,2
5,28,14,2
5,62,5,2
5,64,7,2
5,74,10,2
5,149,12,2
5,245,6,2
5,260,12,2
5,459,16,1
5,778,10,2
5,860,5,2
5,889,7,2
5,932,10,1
6,9,12,2
6,11,14,2
6,119,8,2
6,136,13,2
6,204,9,2
6,225,9,2
6,263,9,2
6,281,9,2
6,287,7,2
6,303,10,2
6,319,15,1
6,368,15,2
6,650,9,2
6,756,11,1
7,8,9,2
7,15,13,2
7,17,13,2
7,18,6,2
7,19,12,2
7,22,14,2
7,25,16,2
7,81,15,2
7,82,7,2
7,83,16,1
7,91,12,2
7,431,12,2
7,579,10,2
7,590,9,2
7,696,9,2
7,711,15,2
7,911,16,1
8,10,10,2
8,15,10,2
8,47,12,2
8,58,7,2
8,67,10,2
8,107,11,2
8,371,10,2
8,490,12,2
8,593,9,2
8,789,11,1
8,965,9,1
9,12,11,2
9,59,13,2
9,204,13,1
9,513,13,1
10,58,11,2
10,62,9,2
10,63,16,1
10,101,21,1
11,119,14,2
11,206,16,2
11,252,12,2
11,506,16,1
12,14,9,2
12,24,12,2
12,59,8,2
12,70,8,2
12,71,8,2
12,72,5,2
12,77,7,2
12,98,11,2
12,110,13,1
12,268,10,2
12,290,10,2
12,409,14,1
13,16,20,1
13,194,19,1
14,24,15,2
14,32,12,2
14,57,11,2
14,133,9,2
14,141,9,2
14,145,10,2
14,244,17,2
14,299,15,2
14,415,12,2
14,676,15,2
14,792,13,1
14,829,14,1
15,18,7,2
15,23,17,2
15,47,16,1
15,76,18,1
16,27,12,2
16,209,13,2
16,380,10,2
16,558,18,1
17,19,13,2
17,31,14,2
17,52,17,1
17,161,13,2
17,470,16,1
18,22,8,2
18,23,10,2
18,33,5,2
18,35,5,2
18,37,7,2
18,44,14,2
18,48,8,2
18,60,9,2
18,65,9,2
18,78,6,2
18,89,6,2
18,97,9,2
18,100,11,2
18,104,9,2
18,118,3,2
18,120,4,2
18,122,11,2
18,249,5,2
18,267,10,2
18,351,9,2
18,443,6,2
18,445,4,2
18,449,6,2
18,473,3,2
18,474,4,2
18,484,7,2
18,502,6,2
18,568,5,2
18,574,8,2
18,636,6,2
18,653,5,2
18,665,6,2
18,674,10,1
18,811,6,2
18,834,13,1
19,25,16,1
19,52,16,1
20,21,11,2
20,29,11,2
20,30,13,2
20,53,13,1
20,54,9,2
20,86,9,2
20,102,14,1
21,26,22,1
21,54,12,2
21,61,11,2
21,73,15,1
22,33,13,1
22,91,14,1
23,48,18,1
23,76,21,1
24,133,12,2
24,163,15,2
24,217,11,2
24,268,16,1
24,726,19,1
25,81,19,1
27,28,15,2
27,209,9,2
27,214,13,2
27,924,8,2
27,949,18,1
27,977,11,1
28,245,14,2
28,680,17,1
28,949,25,1
29,30,16,1
29,442,16,1
30,53,18,1
31,40,15,1
31,161,13,2
31,313,17,1
32,41,10,2
32,46,14,1
32,57,11,2
32,68,13,2
32,786,14,1
33,35,10,2
33,36,11,2
33,306,11,2
33,641,12,1
34,38,11,2
34,45,8,2
34,51,15,2
34,55,12,2
34,125,14,2
34,332,7,2
34,333,10,2
34,596,10,1
34,616,11,2
34,628,7,2
34,821,11,1
35,36,11,2
35,37,12,2
35,92,9,2
35,121,12,1
35,187,8,2
35,222,16,2
35,277,12,1
36,121,13,1
36,306,12,2
36,573,10,2
36,589,17,1
37,44,21,1
37,92,11,2
37,196,13,2
37,215,20,1
38,39,13,2
38,43,12,2
38,55,15,1
38,423,12,1
39,43,11,2
39,50,15,2
39,69,15,1
39,775,15,1
40,326,13,2
40,476,13,2
40,627,24,1
41,42,10,2
41,46,12,2
41,85,16,1
41,274,10,2
41,611,10,2
41,734,16,1
42,49,14,2
42,85,18,1
42,983,12,1
43,69,14,1
43,423,10,2
43,471,19,1
44,65,23,1
45,51,15,2
45,56,12,2
45,127,8,2
45,130,13,2
45,139,14,1
45,766,12,1
46,274,14,1
47,490,18,1
48,60,17,1
49,315,20,1
49,983,14,1
50,775,18,1
51,616,18,1
51,766,19,1
54,61,9,2
54,66,17,2
54,86,10,2
54,111,7,2
54,113,21,1
54,644,10,2
54,669,14,2
54,919,8,1
55,125,18,1
56,127,12,2
56,815,14,1
57,68,12,2
57,244,16,1
57,747,12,1
58,63,13,2
58,67,11,2
58,87,14,1
58,160,8,2
58,207,10,2
58,219,9,2
58,346,9,2
58,393,7,2
58,507,12,2
58,946,12,1
59,70,10,2
59,88,13,2
59,513,10,2
59,850,13,1
59,943,12,1
60,97,18,1
61,66,16,2
61,73,12,1
61,387,16,1
62,64,6,2
62,75,8,2
62,95,11,2
62,101,16,2
62,440,8,2
62,483,6,2
62,512,3,2
62,515,7,2
62,527,9,2
62,549,8,2
62,600,8,2
62,670,8,2
62,772,6,2
62,787,5,2
62,798,8,2
62,804,10,1
62,867,15,1
63,160,13,2
63,544,23,1
64,74,11,2
64,75,10,2
64,80,16,1
64,93,8,2
64,94,10,2
64,123,8,2
64,124,12,2
64,126,8,2
64,134,8,2
64,138,13,2
64,210,10,2
64,362,9,2
64,397,12,1
65,78,15,1
66,387,24,1
66,644,17,1
67,87,17,1
67,107,15,1
68,747,14,1
68,786,15,1
70,71,10,2
70,88,13,2
70,372,12,2
70,646,13,2
70,705,11,2
70,863,12,2
70,938,6,2
70,955,11,1
70,966,9,2
70,991,11,1
71,72,7,2
71,90,12,2
71,372,12,2
71,588,9,2
71,606,10,2
71,622,14,1
71,697,7,2
71,732,18,1
72,77,6,2
72,84,10,2
72,90,9,2
72,116,13,2
72,183,9,2
72,212,8,2
72,226,4,2
72,227,10,1
72,808,4,2
72,838,6,2
72,987,7,1
74,80,19,1
74,149,16,1
75,93,10,2
75,95,15,1
75,96,9,2
75,105,15,1
77,84,12,2
77,98,12,2
77,99,12,2
77,147,11,2
77,220,13,2
77,498,10,2
77,508,11,1
77,599,7,2
77,687,8,2
77,689,14,2
77,951,12,1
78,89,12,2
78,304,15,1
79,218,14,1
79,284,12,1
81,82,10,2
81,103,15,1
82,83,11,1
82,103,7,2
82,106,6,2
82,108,7,2
82,117,9,2
82,154,10,2
82,247,9,2
82,289,5,2
82,294,7,2
82,310,11,2
82,322,6,2
82,338,3,2
82,339,9,2
82,366,6,2
82,414,7,2
82,420,5,2
82,468,11,2
82,629,13,1
84,116,19,1
84,147,15,2
84,469,18,1
86,102,15,1
86,111,7,2
86,115,10,2
86,159,14,2
86,405,15,1
88,705,14,1
88,943,15,1
89,100,17,1
89,304,15,2
89,308,13,1
90,183,14,2
90,446,16,1
90,697,9,1
91,431,12,1
92,187,7,2
92,196,10,2
92,200,9,2
92,205,14,2
92,436,13,2
92,441,8,2
92,448,10,2
92,566,14,1
92,584,11,2
92,688,10,2
92,833,9,1
93,94,10,2
93,96,7,2
93,109,14,2
93,155,8,2
93,188,13,2
93,230,9,2
93,360,14,1
93,714,16,1
94,109,16,1
94,123,10,2
94,152,17,1
95,772,13,1
96,105,12,2
96,112,4,2
96,114,9,2
96,128,9,2
96,155,7,2
96,182,8,2
96,203,10,2
96,238,11,2
96,410,7,2
96,455,10,2
96,461,11,2
96,486,6,2
96,603,10,1
96,990,15,1
97,104,18,1
98,99,16,2
98,110,18,1
98,433,11,2
98,485,14,1
99,220,17,2
99,236,14,1
99,433,11,1
100,351,20,1
101,440,20,1
103,106,11,2
103,307,18,1
104,118,12,2
104,293,19,1
105,112,10,2
105,132,14,1
106,108,11,2
106,307,17,1
106,645,8,2
106,851,9,1
107,371,15,1
108,117,14,1
108,645,9,1
109,188,19,1
111,113,18,1
111,115,7,2
111,131,4,2
111,143,8,2
111,170,12,2
111,224,11,2
111,652,9,2
111,912,5,2
111,914,10,1
112,114,7,2
112,129,12,2
112,132,6,2
112,135,9,2
112,137,2,2
112,140,9,2
112,166,7,2
112,168,6,2
112,169,11,2
112,178,5,2
112,179,6,2
112,181,9,2
112,189,10,2
112,208,7,2
112,231,9,2
112,262,8,2
112,271,5,2
112,273,9,2
112,302,8,2
112,340,8,2
112,370,8,2
112,428,7,2
112,464,10,1
112,480,9,2
112,548,9,2
112,560,8,2
112,754,9,2
112,950,8,1
114,128,12,2
114,129,17,1
114,156,12,1
115,131,7,2
115,144,19,1
115,159,14,1
116,808,13,1
117,154,17,1
118,120,7,2
118,153,10,2
118,157,10,2
118,172,14,2
118,293,13,1
118,367,6,2
118,373,13,1
119,136,13,2
119,206,10,2
119,369,10,2
119,377,15,1
119,672,12,1
120,122,15,2
120,153,11,2
120,167,16,1
120,444,8,2
120,520,7,2
120,668,12,1
122,167,23,1
122,249,16,1
123,124,12,2
123,152,15,1
123,259,8,2
123,270,8,2
123,365,14,1
124,126,12,2
124,195,13,1
124,259,12,2
124,526,12,1
125,332,13,1
126,134,8,2
126,142,9,2
126,151,9,2
126,195,9,2
126,199,9,2
126,237,9,2
126,283,16,1
126,300,7,2
126,314,7,2
126,321,15,2
126,478,7,2
126,505,7,2
126,681,13,1
127,130,13,1
127,815,10,2
127,954,14,1
128,156,12,1
128,182,11,2
128,197,15,1
129,135,19,1
130,139,19,1
131,143,8,2
131,144,16,1
131,158,9,2
131,175,12,1
132,137,6,2
132,146,11,2
132,229,15,1
133,141,6,2
133,150,6,2
133,163,9,2
133,174,6,2
133,176,10,2
133,202,12,1
133,572,9,2
133,625,6,2
133,654,10,2
133,818,10,2
133,928,6,2
133,974,8,1
134,138,13,1
134,142,9,2
134,165,15,1
135,168,13,1
136,263,14,1
136,377,20,1
137,140,9,2
137,146,7,2
137,148,15,2
137,228,7,2
137,253,7,2
137,266,12,1
137,356,11,2
137,392,5,2
137,412,8,2
137,453,6,2
137,462,6,2
137,524,5,2
137,569,10,2
137,843,13,1
138,210,15,1
140,166,14,1
140,253,14,1
141,145,7,2
141,150,6,2
141,162,9,2
141,173,10,2
141,180,12,2
141,232,9,2
141,261,11,2
141,297,12,2
141,298,10,2
141,317,8,2
141,325,8,2
141,417,13,2
141,451,9,2
141,525,14,2
141,559,10,2
141,994,7,1
141,997,10,1
142,151,10,2
142,164,10,2
142,165,16,1
142,171,10,2
142,184,6,2
142,186,13,1
143,158,13,1
143,170,16,1
145,173,11,2
145,299,13,2
145,503,10,1
145,586,12,1
146,148,20,1
146,229,16,1
147,469,17,2
147,599,10,2
147,740,15,1
147,886,15,1
148,228,20,1
149,459,22,1
150,162,9,2
150,174,6,2
150,177,8,2
150,193,9,2
150,216,13,1
150,223,11,1
151,164,10,2
151,192,10,2
151,199,10,2
151,221,11,2
151,246,9,2
151,296,13,2
151,355,9,2
151,438,10,2
151,454,12,1
151,565,9,1
153,157,14,2
153,279,16,2
153,336,16,1
153,444,11,1
154,247,17,1
155,203,11,2
